I0914 23:37:26.951333       1 resolver.go:85] Model ID gemini-3.8-flash-high not in local config, defaulting to CCPA
I0914 23:37:26.951377       1 resolver.go:111] Model resolved via default
I0914 23:37:26.951500      28 server.go:1560] Starting language server process with pid 610440
I0914 23:37:26.951847      28 server.go:1613] Language server version: 1.2.2
I0914 23:37:26.951859      28 server.go:613] Language server will attempt to listen on host localhost
I0914 23:37:26.959899      28 server.go:628] Language server listening on random port at 46113 for HTTPS (gRPC)
I0914 23:37:26.959960      28 server.go:636] Language server listening on random port at 42671 for HTTP
W0914 23:37:27.136578      74 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 23:37:27.136640      74 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0914 23:37:27.138889      74 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0914 23:37:27.138939      74 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
W0914 23:37:27.140046      76 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 23:37:27.140127      76 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 23:37:27.140260      76 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 23:37:27.140301      76 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0914 23:37:27.141131      85 store_client.go:680] summary store: starting background reconciliation (trigger=startup)
W0914 23:37:27.141557      28 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 23:37:27.141577      28 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 23:37:27.141648      28 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 23:37:27.141659      28 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 23:37:27.141783      28 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 23:37:27.141801      28 errorreport.go:224] error getting token source: You are not logged into Antigravity.
