I0914 23:37:26.955821       1 resolver.go:85] Model ID gemini-3.1-pro-high not in local config, defaulting to CCPA
I0914 23:37:26.955862       1 resolver.go:111] Model resolved via default
I0914 23:37:26.955963      51 server.go:1560] Starting language server process with pid 610463
I0914 23:37:26.956195      51 server.go:1613] Language server version: 1.2.2
I0914 23:37:26.956203      51 server.go:613] Language server will attempt to listen on host localhost
I0914 23:37:26.958999      51 server.go:628] Language server listening on random port at 39993 for HTTPS (gRPC)
I0914 23:37:26.959062      51 server.go:636] Language server listening on random port at 35289 for HTTP
W0914 23:37:27.142943     120 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 23:37:27.142999     120 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0914 23:37:27.143457     120 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0914 23:37:27.143516     120 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
I0914 23:37:27.144028      42 store_client.go:680] summary store: starting background reconciliation (trigger=startup)
W0914 23:37:27.144742      51 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 23:37:27.144765      51 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 23:37:27.144851      51 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 23:37:27.144877      51 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 23:37:27.144955      51 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 23:37:27.144970      51 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 23:37:27.145043      51 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 23:37:27.145065      51 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 23:37:27.145171      51 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 23:37:27.145190      51 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 23:37:27.145235      51 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 23:37:27.145246      51 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 23:37:27.145407     139 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 23:37:27.145428     139 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 23:37:27.145464     139 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 23:37:27.145480     139 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 23:37:27.145558      51 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
W0914 23:37:27.145802      51 defaults.go:778] failed to get cs path: cs path /usr/bin/cs invalid
I0914 23:37:27.145831      51 manager.go:108] Creating trajectory store manager with proto store and SQLite store
W0914 23:37:27.146777      51 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 23:37:27.146808      51 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 23:37:27.146878      51 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 23:37:27.146896      51 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0914 23:37:27.147232     176 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0914 23:37:27.147262     176 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0914 23:37:27.147308     176 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 23:37:27.147314     176 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
I0914 23:37:27.147364     176 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 23:37:27.147370     176 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
I0914 23:37:27.147449     176 manager.go:100] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 23:37:27.147457     176 manager.go:88] Migration [MIGRATION_ID_LIN_BUILTIN_TO_MARKETPLACE] is disabled, skipping entirely
I0914 23:37:27.157951      51 server.go:3003] Auth succeeded, refreshing features and managers
W0914 23:37:27.158003      51 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 23:37:27.158029      51 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0914 23:37:27.158186      51 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0914 23:37:27.158230      51 server.go:3009] State refresh took 0ms
I0914 23:37:27.158234      51 server.go:3019] [RemoteControl] Subscription callback triggered.
I0914 23:37:27.158290      51 server.go:3022] [RemoteControl] RemoteControlEnabled value: false
I0914 23:37:27.158297      51 server.go:3637] [RemoteControl] Session toggle is off, staying disconnected
I0914 23:37:27.158301      51 server.go:3348] [RemoteControl] Resolved proxyServerURL: ""
I0914 23:37:27.158323      51 profiler.go:231] Continuous pprof profiling is disabled.
I0914 23:37:27.158481     182 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0914 23:37:27.158504     182 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0914 23:37:27.158573     182 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 23:37:27.158580     182 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
I0914 23:37:27.158558      51 server.go:2505] initialized server successfully in 202.567028ms
I0914 23:37:27.158612     182 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
