P027	— Я іншого мистецтва навчався.

P028	— Невже принадних утіх із заморськими напоями й місцевими дівчатами?

P029	— На заморські напої грошей бракує, а щодо дівчат… — Студент усміхнувся й поцілував її. — Мене поки що вистачає лише на одну. Я старий, мені вже двадцять два роки!

P030	— Цікаво буде послухати, як ти заговориш у тридцять. — Красуня крутнулася навшпиньках і сарною майнула коридором. — Побачимося пізніше, старий!

P031	— Бувай. А в мене є справа, — уже подумки додав Іван.

P032	Чекаючи, поки розігріється борщ, герой обмірковував сьогоднішні плани. «На пари більше не тягне, тож решту можна й прогуляти. Завтра піду на всі. Сесія аж через три тижні — ще встигну. А ввечері… гм-м… увечері треба буде підкинути хлопцям грошей, щоб вони годинки дві десь погуляли: мала зайти Маша. Пощастило мені з нею. Я ж умовив її зі мною зустрічатися. А точніше, просто забалакав».

P033	Від природи Іван не мав особливого хисту до спілкування. Говорити любив, як і будь-який хлопчак його віку. Ганяв із дітлахами у дворі, грав у гравібол і навіть кілька разів бився з іншими дітьми. Нікому тільки не казав, що серед тих суперників була й дівчинка. І досі соромиться, що вона нам’яла йому боки. Та одного дня його пріоритети змінилися. У другому класі йому вперше сподобалася дівчинка — Наталка, у яку він закохався з усією пристрастю восьмирічного шибеника. Не знаючи, як показати свої почуття, Іван спершу приглянувся до однокласників. Мишко смикав Ксюшу за короткі кіски, а коли та ображено відверталася, не спускав із неї очей, доки вона цього не помічала; тоді скромно дивився вбік. Артем постійно забирав у Саші зошити, ручки чи лінійки, потім повертав, а тоді цупив щось інше. Коля жбурляв в Альону туго скручені паперові кульки й гордо дивився їй просто у вічі. Виявилося, залицятися можна по-різному. Батько змалку вчив Івана, що насильством нічого не досягнеш, тож відбирати щось силою він не збирався. Треба було вигадати інший спосіб. Льошка, наприклад, завжди проводжав ту саму Альону, Колину кохану, до школи й додому, щоразу чекав на неї й допомагав нести портфель. З одного боку, мило. З другого — це ж Льошка. Слабак. А Ваня не такий. Та й Альона ніяк на це не реагувала: ще з першого класу звикла. А от Колю помічала завжди, хоч на її милому ластовинчастому личку з’являлася переважно злість. Іван добре пам’ятав, як у дворі йому всипала дівчинка, тож збагнув: перш ніж діяти, варто бодай трохи подумати. Може, мама щось порадить. Вона ж теж дівчинка.

P052	— Ні, Ваню. — Мама засміялася. — Це просто означає, що дівчатка люблять, коли їм щось кажуть. Наприклад, компліменти. Ти можеш підійти й сказати, що дівчинка сьогодні дуже гарна і ця сукня їй дуже личить.

P067	— … — Іван надувся.

