P048	— Добре. Тоді я передумала: не допомагатиму. Ти, може, й красень, але жа-а-ахливо вередливий.

P058	— Зробімо так. Спершу скажи їй щось приємне. Наступного разу привітайся й додай іще кілька добрих слів. Щоразу говори з нею трохи довше, але не забувай про маленькі компліменти. Завтра скажи, що вона гарна. Потім знову привітайся й зауваж, яка в неї гарна сукня чи рюкзак. На перерві попроси допомогти тобі з російською мовою, бо вона тобі погано дається, і похвали її вимову. Ти в мене найрозумніший, тож далі вигадаєш сам: ти її знаєш краще за мене. Розберешся?

P070	— Буває, Ваню, буває. Тільки не чекай надто довго, бо проґавиш дівчинку, яка все зрозуміє одразу.

P071	— А як зрозуміти, коли вже надто довго?

P078		Теплі спогади перервав гучний сигнал мікрохвильовки: борщ був готовий. Дістаючи ложку з шухлядки столу, Іван не помітив, як двері поволі відчинилися й у них показалося змарніле обличчя Валентина Пшичкіна, третьокурсника факультету матеріалознавства та зварювання. Ще з порога втомлений хлопець почув чудовий запах улюбленого борщу, який батько раз на два тижні з любов’ю передавав йому електричкою. Кривава полуда заслала Валі голодні очі; він крикнув: «Ах ти ж падлюко!» — і майбутнє журналістики перейшло у стан спокою.

P094	— Чим займемося, жениху? — ласкаво погладжуючи синець, що вже наливався під оком, спитала наречена. — У нас є година чи дві на всілякі цікаві справи. — Напрямок, у якому ковзнула її рука, говорив сам за себе.

P106	— Ох, знову ти завів свій моторчик словоблуддя.

P112		Маша підвелася — вона й досі була в халаті — й пішла до своєї кімнати. Іван укотре милувався її звабливими формами й не вірив своєму щастю: з якого боку не глянь, вона була гарна. Думки знову закрутилися в голові. Краса — це дивовижно, але вона минуща. Можна закохатися в чудові карі очі, темно-каштанове волосся чи витончений вигин тіла, але полюбити… полюбити можна тільки душу людини. А що таке душа? Що ховається за цим ефемерним поняттям? Іван не знав. Йому здавалося, що душа — це вчинки заради інших. Один його знайомий щоранку надсилає дівчині на іншому кінці країни веселе привітання й побажання гарного дня. І так уже п’ять років! Інший готує каву з двома шматочками цукру. Дрібниці, але з них і складається життя. Вані завжди здавалося: найважче — навчитися радіти життю. Кожен, хто замислиться бодай на мить, знайде у своєму житті щось, що варто виправити, змінити, доробити чи прибрати заради омріяної досконалості. Та ідеальною буває хіба мрія. Бо що б людина не налагодила в одній царині, в іншій неодмінно щось завалиться. Поправив здоров’я — скінчилися гроші; знайшов нову роботу — розійшовся з коханою людиною; зустрів свою половинку — почалися проблеми в родині. А живеш сьогоднішнім — і великих проблем наче немає. Ні тобі тривог про майбутнє, ні минулого, що женеться назирці. Бурхливе «зараз» — єдине, що в нас є! Ох, і як же важко навчитися насолоджуватися сьогоденням… Шкода, що найважливіших життєвих уроків не дають ні школа, ні університет. Усього найцікавішого доводиться вчитися на ходу. А ноги в неї все-таки чудові! На цій прекрасній думці у дверях з’явилася примадонна, і вони вийшли надвір.

P114	— Я весь увага, Машо.

P138	— Та тому що хочу жити зараз. Мені набридли новини: там когось убили, там щось украли. Один бомбить другого, той — третього. У нашій країні все погано, у якійсь іншій — усе чудово. У мене старе авто, а в сусіда нове. Мені вже осточортіло намагатися зрозуміти проблеми суспільства, країни, світу! Скрізь стільки зайвої, нікому не потрібної інформації. Я весь час хотів усе знати й стежити за всім довкола. Голова пухла! Ти завжди дивувалася, звідки я стільки прочитав і чому маю такий словниковий запас. Та в мене просто часу не лишалося пожити. Хотів знати, як люди живуть тепер, як жили у двадцятому столітті, у дев’ятнадцятому, у п’ятому. А коли й цього стало мало, читав про те саме в різних країнах. Потім — у різних суспільних верствах. І що це дало моєму життю? Нічого! Я просто досконало знав купу нікому не потрібних фактів. От і все. І знаєш, що я тоді зробив?

P142	— Так. Я ввімкнув музику гучніше, спробував вимкнути голову й почав дивитися довкола. На двох хлопців, що йшли поруч. На бабусь біля під’їзду, які лускали на лавці насіння й явно обговорювали молоду дівчину, що прямувала до дверей. На машини, що проїжджали повз і без кінця голосно сигналили одна одній, хоча всім було ясно: затор із місця не рушить. На дерева, які я бачив тисячі разів. На сіре небо. Музика не допомагала, тож я зібрався з силами й подивився на милу пару під деревом. І зрозумів: вони жили цією миттю — тим прекрасним «зараз», яке наповнює силою й дає відчути, що ти живий. Саме тепер. Тільки він і вона. Вони вбирають цю мить кожною клітинкою тіла. Не думають, як прийшли до цього дерева чи куди підуть потім. Важливо лише те, де вони зараз.

P144	— Усі ми філософи. Просто напрями в нас різні. А тією дівчиною ти зараз станеш, не хвилюйся. Он дерево неподалік. Ходімо.

