I0915 00:17:11.880303       1 resolver.go:85] Model ID gemini-3.8-flash not in local config, defaulting to CCPA
I0915 00:17:11.880370       1 resolver.go:111] Model resolved via default
I0915 00:17:11.884463      10 server.go:1560] Starting language server process with pid 621191
I0915 00:17:11.889712      10 server.go:1613] Language server version: 1.2.2
I0915 00:17:11.889729      10 server.go:613] Language server will attempt to listen on host localhost
I0915 00:17:11.904215      10 server.go:628] Language server listening on random port at 34149 for HTTPS (gRPC)
I0915 00:17:11.904335      10 server.go:636] Language server listening on random port at 39359 for HTTP
W0915 00:17:12.133237      78 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0915 00:17:12.133328      78 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0915 00:17:12.139209      78 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0915 00:17:12.139296      78 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
I0915 00:17:12.140660      84 store_client.go:680] summary store: starting background reconciliation (trigger=startup)
W0915 00:17:12.141857      10 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0915 00:17:12.141884      10 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0915 00:17:12.142005      10 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0915 00:17:12.142026      10 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0915 00:17:12.142203      96 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0915 00:17:12.142224      96 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0915 00:17:12.142284      96 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0915 00:17:12.142321      96 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0915 00:17:12.142496      10 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
