I0915 00:00:47.584649       1 resolver.go:85] Model ID gemini-3.1-pro-high not in local config, defaulting to CCPA
I0915 00:00:47.584696       1 resolver.go:111] Model resolved via default
I0915 00:00:47.585221      53 server.go:1560] Starting language server process with pid 616646
I0915 00:00:47.586581      53 server.go:1613] Language server version: 1.2.2
I0915 00:00:47.586590      53 server.go:613] Language server will attempt to listen on host localhost
I0915 00:00:47.598528      53 server.go:628] Language server listening on random port at 45125 for HTTPS (gRPC)
I0915 00:00:47.598634      53 server.go:636] Language server listening on random port at 40495 for HTTP
W0915 00:00:47.787153      86 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0915 00:00:47.787198      86 errorreport.go:224] error getting token source: You are not logged into Antigravity.
I0915 00:00:47.792542      92 store_client.go:680] summary store: starting background reconciliation (trigger=startup)
E0915 00:00:47.792588      86 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0915 00:00:47.792633      86 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
W0915 00:00:47.794748      53 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0915 00:00:47.794769      53 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0915 00:00:47.794868      53 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0915 00:00:47.794887      53 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0915 00:00:47.795278      53 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0915 00:00:47.795303      53 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0915 00:00:47.795383      53 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0915 00:00:47.795408      53 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0915 00:00:47.795477      53 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0915 00:00:47.795494      53 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0915 00:00:47.795563      53 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0915 00:00:47.795583      53 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
