I0914 21:53:23.596043       1 resolver.go:85] Model ID gemini-3.8-flash-high not in local config, defaulting to CCPA
I0914 21:53:23.596115       1 resolver.go:111] Model resolved via default
I0914 21:53:23.596534      13 server.go:1560] Starting language server process with pid 568507
I0914 21:53:23.596765      13 server.go:1613] Language server version: 1.2.2
I0914 21:53:23.596772      13 server.go:613] Language server will attempt to listen on host localhost
I0914 21:53:23.599156      13 server.go:628] Language server listening on random port at 41347 for HTTPS (gRPC)
I0914 21:53:23.599230      13 server.go:636] Language server listening on random port at 46269 for HTTP
W0914 21:53:23.776937      43 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:53:23.776980      43 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0914 21:53:23.777445      43 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0914 21:53:23.777476      43 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
I0914 21:53:23.778559      56 store_client.go:680] summary store: starting background reconciliation (trigger=startup)
W0914 21:53:23.779601      13 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:53:23.779629      13 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:53:23.779720      13 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:53:23.779736      13 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:53:23.779850      13 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:53:23.779871      13 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:53:23.779935      13 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:53:23.779957      13 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:53:23.780029      13 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:53:23.780059      13 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:53:23.780116      13 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:53:23.780130      13 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
