I0914 21:14:33.605917       1 resolver.go:85] Model ID gemini-3.1-pro-high not in local config, defaulting to CCPA
I0914 21:14:33.606102       1 resolver.go:111] Model resolved via default
I0914 21:14:33.606204      36 server.go:1560] Starting language server process with pid 540683
I0914 21:14:33.606437      36 server.go:1613] Language server version: 1.2.2
I0914 21:14:33.606448      36 server.go:613] Language server will attempt to listen on host localhost
I0914 21:14:33.608527      36 server.go:628] Language server listening on random port at 36575 for HTTPS (gRPC)
I0914 21:14:33.608585      36 server.go:636] Language server listening on random port at 36477 for HTTP
W0914 21:14:33.840390      75 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:14:33.840486      75 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0914 21:14:33.841189      75 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0914 21:14:33.841224      75 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
I0914 21:14:33.843389      55 store_client.go:680] summary store: starting background reconciliation (trigger=startup)
W0914 21:14:33.844764      36 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:14:33.844792      36 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:14:33.844896      36 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:14:33.844916      36 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:14:33.845006      36 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:14:33.845020      36 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:14:33.845081      36 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:14:33.845097      36 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:14:33.845199      36 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:14:33.845216      36 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:14:33.845259      36 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:14:33.845270      36 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0914 21:14:33.845287      55 store_client.go:730] summary store: reconciliation complete, synced 21 records
W0914 21:14:33.845360      55 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:14:33.845377      55 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:14:33.845455      55 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:14:33.845472      55 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:14:33.845570      11 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:14:33.845593      11 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:14:33.845636      11 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:14:33.845646      11 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:14:33.845646      36 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
W0914 21:14:33.846133      36 defaults.go:778] failed to get cs path: cs path /usr/bin/cs invalid
I0914 21:14:33.846153      36 manager.go:108] Creating trajectory store manager with proto store and SQLite store
W0914 21:14:33.846405      36 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:14:33.846433      36 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:14:33.846501      36 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:14:33.846526      36 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0914 21:14:33.847241     195 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0914 21:14:33.847284     195 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0914 21:14:33.847346     195 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:14:33.847356     195 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
I0914 21:14:33.847397     195 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:14:33.847401     195 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
I0914 21:14:33.847431     195 manager.go:100] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:14:33.847436     195 manager.go:88] Migration [MIGRATION_ID_LIN_BUILTIN_TO_MARKETPLACE] is disabled, skipping entirely
I0914 21:14:33.853532      36 server.go:3003] Auth succeeded, refreshing features and managers
W0914 21:14:33.853589      36 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:14:33.853620      36 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0914 21:14:33.853762      36 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0914 21:14:33.853828      36 server.go:3009] State refresh took 0ms
I0914 21:14:33.853836      36 server.go:3019] [RemoteControl] Subscription callback triggered.
I0914 21:14:33.853923      36 server.go:3022] [RemoteControl] RemoteControlEnabled value: false
I0914 21:14:33.853929      36 server.go:3637] [RemoteControl] Session toggle is off, staying disconnected
I0914 21:14:33.853932      36 server.go:3348] [RemoteControl] Resolved proxyServerURL: ""
I0914 21:14:33.853988      36 profiler.go:231] Continuous pprof profiling is disabled.
I0914 21:14:33.854190      36 server.go:2505] initialized server successfully in 247.958699ms
I0914 21:14:33.854249     201 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0914 21:14:33.854271     201 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0914 21:14:33.854328     201 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:14:33.854337     201 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
I0914 21:14:33.854362     201 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:14:33.854365     201 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
I0914 21:14:33.854387     201 manager.go:100] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:14:33.854390     201 manager.go:88] Migration [MIGRATION_ID_LIN_BUILTIN_TO_MARKETPLACE] is disabled, skipping entirely
W0914 21:14:33.854595     204 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
I0914 21:14:33.854611       1 auto_updater.go:252] Last check was less than 15 minutes ago, skipping update (fast path)
E0914 21:14:33.854624     204 errorreport.go:224] error getting token source: You are not logged into Antigravity.
I0914 21:14:33.854640       1 common.go:150] Launching CLI mode
E0914 21:14:33.854648       1 launchsteps.go:84] Failed to resolve GeminiDir ".gemini": .gemini must be an absolute path: path is not absolute, falling back to default
I0914 21:14:33.854661       1 common.go:172] CLI app data directory: /home/alexi/.gemini/antigravity-cli
I0914 21:14:33.854674       1 server.go:299] Creating CLI server backend: product=antigravity workspaceDirs=[/tmp/literary-model-otb5_6_7] appDataDir=/home/alexi/.gemini/antigravity-cli cascadeManager=true codeAssist=true
W0914 21:14:33.854699     204 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0914 21:14:33.854702       1 composite_token_storage.go:123] Using file-based token storage because WSL environment detected
I0914 21:14:33.854714       1 auth_provider.go:763] [AuthProvider] SetEnableBusinessLogin called with enable: true
E0914 21:14:33.854757     204 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:14:33.854881     155 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:14:33.854906     155 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:14:33.854944     155 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:14:33.854954     155 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:14:33.856021     136 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:14:33.856099     136 errorreport.go:224] error getting token source: You are not logged into Antigravity.
I0914 21:14:33.856152       1 server.go:2091] Backend project ID updated dynamically to: default-cli-project
I0914 21:14:33.856164       1 analytics.go:179] CLI startup completed (took 251.761384ms)
I0914 21:14:33.856172       1 printmode.go:174] Print mode: starting (promptLength=42538, model="gemini-3.1-pro-high", conversationID="")
W0914 21:14:33.856174     136 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0914 21:14:33.856179       1 manager.go:426] Initializing CLI store manager for workspace /tmp/literary-model-otb5_6_7
E0914 21:14:33.856217     136 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0914 21:14:33.856401       1 cli_setting_manager.go:79] config.json not found or unreadable, using CLI settings only: open /home/alexi/.gemini/config/config.json: no such file or directory
I0914 21:14:33.856422       1 cli_setting_manager.go:92] CLI settings initialized: permissions=<nil>, toolPermission=request-review
W0914 21:14:33.856473     136 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:14:33.856566     136 errorreport.go:224] error getting token source: You are not logged into Antigravity.
I0914 21:14:33.856572       1 hooks_manager.go:53] loaded 0 named hooks from 0 hooks.json file(s)
I0914 21:14:33.856607       1 manager.go:600] CLI store manager initialized successfully
I0914 21:14:33.856628       1 session.go:77] Print mode: enabling terminal sandbox for this session
I0914 21:14:33.856637       1 printmode.go:715] Print mode: applying agent mode plan
I0914 21:14:33.856649       1 manager.go:1352] SetCycleMode called: plan
I0914 21:14:33.856661       1 printmode.go:365] Print mode: not authenticated, trying silent auth
W0914 21:14:33.856659     136 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:14:33.856736     136 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0914 21:14:33.856740     164 keyring.go:64] keyringAuth: loaded token, expiry=2026-09-14 21:57:12.305865179 +0200 CEST expired=false
I0914 21:14:33.856763       1 auth.go:148] ChainedAuth: authenticated via keyring (effective: keyring)
I0914 21:14:33.856770       1 server_oauth.go:192] applyAuthResult: email=alexisinwork@gmail.com, authMethod=consumer, quotaProject=
I0914 21:14:33.856773       1 server_oauth.go:197] OAuth: authenticated successfully as alexisinwork@gmail.com
I0914 21:14:33.856776       1 server_oauth.go:203] b.codeAssistClient.AuthProvider (0x161880d480f0) is same as b.cliAuth (0x161880d480f0)
W0914 21:14:33.857023     170 cache.go:163] Failed to refresh cache in background: admin controls not applicable
