P001	<b>01.04.2132, 21:32. Позакорабельна діяльність</b>

P002	Минуло пів року, а вона й досі прекрасна. Зелено-блакитна кулька, яка завдяки щасливому випадку стала батьківщиною майбутніх підкорювачів космосу. Коли дивишся з гало-орбіти Місяця, одразу розумієш, які дріб’язкові чвари ми затіваємо в масштабах не те що Всесвіту — навіть нашої Сонячної системи. Крижана душа космосу лякала багатьох моторошною байдужістю й тишею, та Сергієві вона подобалася. У цій тиші було коли подумати: космос став його новим домом. Попри трагедію з батьком під час будівництва другої орбітальної бази, він любив космос усім серцем. І вірив, що власним теплом та завзяттям зуміє відкрити іншим ту саму красу, яку бачив тут сам.

P003	Кинувши лише один погляд на батьківщину людства, лейтенант Сергій Баровський знову взявся оглядати сонячну панель: її, схоже, зачепили дрібні метеоритні уламки. Потай він сподівався, що то лише бруд. Тоді не доведеться міняти цілі блоки батарей, як у разі мікротріщин. Адже лише тиждень тому вони замінили цілу секцію запасними панелями. Хтось святкував день народження й жартома викинув зі шлюзу рештки використаного місячного льоду. Що могло піти не так? Еге ж? А таки могло. І пішло. Несподівано потужний потік сонячного вітру, що мчав зі швидкістю близько восьмисот кілометрів на секунду, розігнав уламки льоду до неймовірної швидкості. Вони по дотичній зачепили секцію 24-А, тож довелося діставати останні запасні сонячні батареї. Нових чекати аж пів року! «Просто дотримуйся правил — і нічого не станеться», — думав технік. Так… Усе-таки бруд. Чудово! Швиденько почистити — і додому: йому кортіло почати святкувати сторіччя орбітальної станції. Генрі О’Гара, його незмінний товариш по нещастю, а за сумісництвом капітан Земного космофлоту, уже був готовий.

P004	— Генрі, я закінчив. Пощастило! Усього лише пил. Прочистив секції 3-Б і 8-С. Повертаюся.

P005	— Серж, ти «на прив’язі»? — Капітан розвалився в кріслі страхувальника й спостерігав за виходом. Після вилазки на нього вже чекав келих вина.

P006	— Так, я від троса й не відстібався. Навіщо мені це робити?

P007	— Ах так, вічно забуваю, що ти — містер Порядок. Скільки місяців я вже кажу тобі, що життя сповнене радості у випадкових дрібницях?

P008	— Та вже всі дванадцять місяців. І це лише за цю вахту. — Під світловідбивним щитком шолома майнула весела усмішка лейтенанта.

P009	— А ти й досі не слухаєш мене, мудрого. Знаєш що? У мене є для тебе подарунок на честь завтрашнього свята. Ти в «червоному» чи «синьому» вийшов?

P010	— У «червоному», за статутом необхідно брати…

P011	— Так-так, чув про це, — перебив його капітан. — Я перевірив розклад: завтра, з нагоди сторіччя, обов’язкових вильотів немає. Тож під’єднай третій резервний кисневий балон. Там на тебе чекає сюрприз.

P012	— А що там?

P013	— Вдихнеш — і дізнаєшся. Приємного повернення додому! Чекаю через десять хвилин.

P014	У призначений час, пройшовши шлюз, Сергій непевною ходою рушив до роздягальні, а врешті й сів на лаву, зігнувшись навпіл. Стороннього спостерігача дрібні судоми Сергія неабияк занепокоїли б, але Генрі знав, що відбувається з техніком. Він підійшов допомогти йому зняти важезний скафандр для «позакорабельної діяльності».

P015	— Як настрій, лейтенанте? — капітан усміхнувся, побачивши, як Баровський весело сміється за відкидним щитком. Генрі поставив келих вина на лаву й узявся розстібати кріплення скафандра. — Зі святом, колего!

P016	— А-ха-ха! Ну… ти… й… паскуда, Генрі! — кинув космонавт крізь сміх, що вже вщухав. — Яка ж… паскуда!

P017	— Давай сюди шолом, веселуне. Зараз допоможу з рештою. А ти насолоджуйся! — Він допоміг Сергієві зняти скафандр і повісив його в шафу. — Сподобалося?

P018	— Де ти взагалі дістав звеселяльний газ? — Баровський іще всміхався, але погляд уже був войовничий. — Таке не можна доправляти на орбітальні станції! Навіть на такі старі, як наша.

P019	— Це вже моя проблема. Ти весь час такий суворий, що перед завершенням нашої третьої вахти мені захотілося лишити тобі приємний спогад. Повторюю: життя — це мить, хлопче!

P020	— Знаю я твою філософію. А ти знаєш, що мене не зміниш! Я ж розповідав тобі про батька.

P021	— Пам’ятаю, друже. Пам’ятаю. — О’Гара поплескав товариша по плечу. — Але хто старе пом’яне, тому око геть. Так у вас, росіян, кажуть, еге ж? Не забувай: за цей рік ти заощадив цілу 0,01 секунди життя!

P022	— Ти не забув, що ми не знаємо точної різниці в плині часу на місячній станції й на Землі? Ти говориш про вимірювання, зроблені на МКС.

P023	— Ех, видовищно тоді знищили станцію у 2026 році… Гаразд, гайда до їдальні святкувати. Дай мені лише кілька хвилин повернути кисневі балони на місце, бо ще хтось помре зі сміху. Буквально.

P024	— Гайда, веселуне. — Трохи відчужений погляд лейтенанта прояснів. — А Юля вже там?

P025	— Дасс? Так, уже десь годину базікає із Шоном та Акіто.

P026	— Чим їй так подобаються ці хлопці?

P027	— Їй тільки дай нагоду похизуватися знанням китайської та японської мов. Уперше бачу таку фанатку азійської культури!

P028	— У кожного свої слабкості, Генрі. Ти, наприклад, страшенно надокучлива паскуда.

P029	<b>01.04.2132, 21:50. Теорії контакту</b>

P030	— Поки ремонтував батареї, я ось про що подумав, Генрі, — сказав Сергій, коли вони, минаючи стикувальні секції, прямували до їдальні. Час від часу він підносив келих до рота й відпивав вина. — Чому в нас удома держави постійно конфліктують? Ми ж тут так не робимо? Ні на нашій заправній станції, ні на першій о’нілівській ніхто не свариться. У нас, по суті, за сто років особливих проблем і не було.

P031	— Траплялися різні дрібниці, Серж, але загалом ти маєш рацію. Моя теорія проста: нас єднає необхідність. Дивись. Удома ти живеш у затишному колі родини й друзів, у рідному місті, де все просто й знайомо. Тобі ніщо смертельно не загрожує, і, якщо вже хтось допік, ти можеш замкнутися вдома й відпочити від усього та всіх.

P032	— Припустімо. І що?

P033	— А на станції? Де тут сховаєшся? Місця обмаль, гравітації немає, і всі дуже тісно пов’язані. Наші життя залежать одне від одного. Уяви: якщо я тебе чимось образив, то скільки в тебе є способів підставити мене, щоб помститися?

P034	— Я навіть не знаю, із чого почати… Та хоча б твій подаруночок у кисневому баку. Чим не нагода? Не дай боже станеться критична ситуація, а в мене в балоні звеселяльний газ замість кисню. П’ять хвилин тут можуть усе вирішити.

P035	— От бачиш. Хочеш не хочеш, а доводиться довіряти всім і ставитися одне до одного поблажливіше. Ми всі в одному човні — от і не сваримося. Не можемо ми дозволити собі чвари. А вдома є і час, і свобода, і бажання.

P036	— Сумно якось від цього.

P037	— Ми вже років п’ятдесят як розв’язали життєво важливі проблеми людства. Але так уже ми влаштовані — вічно всім невдоволені. Геть усім. Навіть коли все чудово.

P038	— Амінь.

