I0914 22:03:25.699986       1 resolver.go:85] Model ID gemini-3.8-flash not in local config, defaulting to CCPA
I0914 22:03:25.700041       1 resolver.go:111] Model resolved via default
I0914 22:03:25.700184      52 server.go:1560] Starting language server process with pid 572453
I0914 22:03:25.700477      52 server.go:1613] Language server version: 1.2.2
I0914 22:03:25.700487      52 server.go:613] Language server will attempt to listen on host localhost
I0914 22:03:25.703115      52 server.go:628] Language server listening on random port at 44599 for HTTPS (gRPC)
I0914 22:03:25.703203      52 server.go:636] Language server listening on random port at 40861 for HTTP
W0914 22:03:25.890623      32 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 22:03:25.890684      32 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0914 22:03:25.891102      32 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0914 22:03:25.891147      32 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
I0914 22:03:25.892432      86 store_client.go:680] summary store: starting background reconciliation (trigger=startup)
W0914 22:03:25.893683      52 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 22:03:25.893709      52 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 22:03:25.893826      52 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 22:03:25.893854      52 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 22:03:25.893953      52 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 22:03:25.893976      52 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 22:03:25.894042      52 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 22:03:25.894063      52 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 22:03:25.894126      52 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 22:03:25.894139      52 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 22:03:25.894188      52 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 22:03:25.894202      52 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 22:03:25.895183      52 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
W0914 22:03:25.895589      52 defaults.go:778] failed to get cs path: cs path /usr/bin/cs invalid
I0914 22:03:25.895622      52 manager.go:108] Creating trajectory store manager with proto store and SQLite store
W0914 22:03:25.896630      52 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 22:03:25.896677      52 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 22:03:25.896798      52 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 22:03:25.896839      52 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0914 22:03:25.897608     140 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0914 22:03:25.897635     140 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0914 22:03:25.897691     140 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
