I0914 22:31:03.014278       1 resolver.go:85] Model ID gemini-3.8-flash not in local config, defaulting to CCPA
I0914 22:31:03.014318       1 resolver.go:111] Model resolved via default
I0914 22:31:03.014420       9 server.go:1560] Starting language server process with pid 587556
I0914 22:31:03.014604       9 server.go:1613] Language server version: 1.2.2
I0914 22:31:03.014609       9 server.go:613] Language server will attempt to listen on host localhost
I0914 22:31:03.017213       9 server.go:628] Language server listening on random port at 40977 for HTTPS (gRPC)
I0914 22:31:03.017274       9 server.go:636] Language server listening on random port at 38191 for HTTP
W0914 22:31:03.200336      93 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 22:31:03.200391      93 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0914 22:31:03.200848      93 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0914 22:31:03.200898      93 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
I0914 22:31:03.201861      99 store_client.go:680] summary store: starting background reconciliation (trigger=startup)
W0914 22:31:03.202749       9 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 22:31:03.202773       9 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 22:31:03.202891       9 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 22:31:03.202908       9 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 22:31:03.203022       9 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 22:31:03.203039       9 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 22:31:03.203100       9 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 22:31:03.203116       9 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 22:31:03.203182       9 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 22:31:03.203209       9 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 22:31:03.203249       9 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 22:31:03.203258       9 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 22:31:03.203635       9 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
W0914 22:31:03.204093       9 defaults.go:778] failed to get cs path: cs path /usr/bin/cs invalid
I0914 22:31:03.204156       9 manager.go:108] Creating trajectory store manager with proto store and SQLite store
