I0915 00:02:37.582011       1 resolver.go:85] Model ID gemini-3.1-pro-high not in local config, defaulting to CCPA
I0915 00:02:37.582057       1 resolver.go:111] Model resolved via default
I0915 00:02:37.582173      52 server.go:1560] Starting language server process with pid 617312
I0915 00:02:37.582358      52 server.go:1613] Language server version: 1.2.2
I0915 00:02:37.582364      52 server.go:613] Language server will attempt to listen on host localhost
I0915 00:02:37.584952      52 server.go:628] Language server listening on random port at 35283 for HTTPS (gRPC)
I0915 00:02:37.585041      52 server.go:636] Language server listening on random port at 43741 for HTTP
W0915 00:02:37.841547      91 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0915 00:02:37.841613      91 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0915 00:02:37.841918      91 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0915 00:02:37.841967      91 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
I0915 00:02:37.842985     103 store_client.go:680] summary store: starting background reconciliation (trigger=startup)
W0915 00:02:37.843825      52 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0915 00:02:37.843846      52 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0915 00:02:37.843945      52 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0915 00:02:37.843964      52 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0915 00:02:37.844042      52 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0915 00:02:37.844057      52 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0915 00:02:37.844115      52 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0915 00:02:37.844131      52 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0915 00:02:37.844183      52 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0915 00:02:37.844196      52 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0915 00:02:37.844235      52 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0915 00:02:37.844245      52 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0915 00:02:37.844328     117 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0915 00:02:37.844368     117 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0915 00:02:37.844449     117 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0915 00:02:37.844486     117 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0915 00:02:37.844641      52 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
W0915 00:02:37.844949      52 defaults.go:778] failed to get cs path: cs path /usr/bin/cs invalid
I0915 00:02:37.844978      52 manager.go:108] Creating trajectory store manager with proto store and SQLite store
W0915 00:02:37.846041      52 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0915 00:02:37.846067      52 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0915 00:02:37.846143      52 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0915 00:02:37.846160      52 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0915 00:02:37.846569      64 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0915 00:02:37.846603      64 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0915 00:02:37.846673      64 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0915 00:02:37.846681      64 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
I0915 00:02:37.846768      64 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
I0915 00:02:37.846775      64 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
