P031	— Hello, отец! Как поживаешь? Пишешь очередной шедевр? — иронично спросил Джон, сняв куртку.

P032	— Как всегда! Думаю, это будет шедевр посредственности.

P033	— В смысле? — удивился он, разувшись.

P034	— В своей посредственности, избитости сюжета и типичности персонажей рассказ будет просто гениален!

P035	— Юморист ты, father! Как и всегда, — улыбнулся он и прошел внутрь.

P036	— Так, Джон, просил же тебя не смешивать языки! Мне этих английских заимствований и так в жизни хватает. Ты же прекрасно владеешь и русским, и заокеанским, будь так добр.

P037	— Ладно, — буркнул он и подошел к холодильнику. — Дмитрий Иванович, а что это у вас в холодильнике такое? Вспоминаешь молодость с ирландским?

P038	— На старости лет хотелось поразвлечься. Будешь одно? — спросил я, открывая холодильник.

P039	— Я на машине. Оставлю на твоей совести. Как самочувствие? Готовишься к великому празднику? Следующая неделя твоя!
