P041	— Як скажете. А що сьогодні святкуєш?

P042	— Переваги самотності. Усе-таки святкувати з родиною й наодинці із собою — різні речі. Як і задоволення від процесу. Вирішив поміркувати про життя й буття простого російського письменника.

P043	— Воля ваша. Я тоді піду, просто хотів дізнатися, чи не треба тобі чогось і як ти готуєшся до свята. Пам’ятай, що із серденьком і твоїм діабетом жарти погані! Будь обережний, будь ласка.

P044	— Якось усе життя жив і не помирав. Розберуся, не хвилюйся. Дякую, що заїхав!

P045	— Я завтра ще зранку буду й занесу продукти, а Маша ближче до вихідних приїде готувати. Ключі в мене із собою, тож зайду сам.

P046	— Тільки обережно, бо ще налякаєш моїх жінок. Потім утомлюся їх заспокоювати, — сказав я, проводжаючи Джона до виходу.

P047	— Тату, годі вже свої віртуальні моделі жінками називати. Це просто код! Сам же знаєш, не профан у комп’ютерних справах, — дорікнув син.

P048	— Жартую!

P049	— Усе, тоді бувай, Дмитре Івановичу. Бережи себе. Я пішов! — обійнявши мене, додав він. — Люблю тебе!

P050	— Іди вже, красунчику. Я тебе теж.

P051	Зачиняючи двері, я вже згадував його дитинство. Лише кілька років в Англії подарували мені таке диво, як перша дитина. Ніколи б не подумав, що матиму сина. А тим паче що його зватимуть Джон. Джон Дмитрович! Жарт долі, нічого не скажеш. Так, де там пиво з батьківщини лепреконів та горщиків із золотом? Час нам познайомитися ближче…

P052	<b>§ 2. Знепритомнів. Отямився. Гіпс</b>
