P175	— Бездоганні факти. Не прискіпаєшся.

P176	— Не перше століття на світі живемо.

P177	— Часу у вас уже точно було вдосталь. Маленьке уточнення: а як ви все це перевіряєте? Як розумієте, що ось так працює, а отак — ні?

P178	— У нас є випробувальний департамент. Його працівники беруть кілька десятків тисяч душ і тестують на них нові методи в прискореному режимі. За одну мить проганяють весь дослід, обробляють дані й роблять висновки. Архікерівництво їх розглядає, а бос схвалює, скасовує або повертає на доопрацювання.

P179	— А хіба Бог не знає всього?

P180	— Бог, звісно, знає. Але всім потрібні робота, мета й сенс буття. Навіть начальникам угорі та внизу. От він і спрямовує, а не вирішує за всіх.

P181	— Дякую за докладну відповідь.

P182	— Це моя робота. Що далі?

P183	— Чи можу я потрапити до свого пекла? Або хоча б якось подивитися на нього збоку?

P184	— Ви й так чудово його знаєте. Немає сенсу уявляти в деталях.

P185	— Ну, це як книжка й фільм. Часто маєш лише загальне враження, а хочеться побачити нюанси.

P186	— А хіба бачення режисера, акторів, сценаристів і всієї знімальної групи не криється саме в деталях? Хіба це не те, як вони зрозуміли й побачили всі сцени?

P187	— Теж правда.

P188	— Отже, відповідь така: цієї можливості ви не маєте, бо вона вам і не потрібна.

P189	— Гаразд, сперечатися не буду. Начерки в голові вже є: проживати найстрашніші миті життя.

P190	— Навіть гірше. Коли ви звикнете до власних мук, вас кидатимуть у тяжчі спогади інших людей. Їх зраджували ще жорстокіше, з них знущалися ще витонченіше, вони нудьгували в сотні разів сильніше. Уявіть себе: ви постійно прагнете чогось нового, а вас прив’язують до дивана й показують цілковиту дурницю без крихти цікавої інформації. Знову й знову. З часом ви відчуваєте, що тупієте. І коли вже цілком усвідомили, що стали овочем, вас повертають до улюбленої книжки, раптового сюжетного повороту, емоційного зізнання чи викриття головного лиходія у фільмі. Дають знову відчути всю силу авторського задуму — і радість від того, що ви за крихтами інформації наперед угадали розвиток сюжету. Ви збагнули, яка це ейфорія — знати. І тут… вас знову перетворюють на бездумний овоч! І ви відчуваєте кожну мить. Гра контрастів.

P191	— Жах! Який жах! — Від уявленого я схопився й похолов дужче за сталь стільця, на якому сидів. — Це нелюдяно!

P192	— Це законний результат аморального й нещасливого життя. — Наталія розвела руками.

P193	— Який я щасливий, що був щасливий! — вигукнув я й знову сів. Серце досі шалено калатало. — Так, приблизно так я собі це й уявляв. Не знаю нічого гіршого за неробство чи отупіння. Безжальна справедливість.

P194	— Правильно. П’яте запитання?

P195	— Ем… Так-так, п’яте запитання. — Я трохи заспокоївся. — Радше навздогін попередньому. Чи можу я потрапити до раю або пекла інших людей? Професійний інтерес.

P196	— Теж ні. Як я вже казала, вам доступне все з вашого життя й усе, що людство створило до миті вашої смерті. Крім того, ви маєте доступ до всього, що душі створили вже в раю. Вловили закономірність?

P197	— Певною мірою. Можна користуватися лише тим, із чим було пов’язане моє життя, і тим мистецтвом, яке я міг би пізнати до смерті, бо за вічність навіть щасливе життя набридне.

P198	— Так. З тієї самої причини ми не даємо інформації про все, що відбуватиметься від миті смерті. Ви цього, найімовірніше, не зрозумієте.

P199	— Зрозумів. І оскільки все тримається на спогадах, які я можу переживати нескінченно, чи можу задля різноманіття їх змінювати? Не просто йти за ними, а впливати на події?

P200	— Так, можете.

P201	— Фух! А я вже думав, що вловив закономірність ваших відповідей: ні, ні, ні, ні, ні. А тут — так! Чудово! Отже, можна розважитися на повну.

