P031	— Hello, батьку! Як поживаєш? Пишеш черговий шедевр? — іронічно запитав Джон, знімаючи куртку.

P032	— Як завжди! Думаю, це буде шедевр посередності.

P033	— Тобто? — здивувався він, роззуваючись.

P034	— Своєю посередністю, заїждженим сюжетом і типовими персонажами оповідання буде просто геніальне!

P035	— Гуморист ти, father! Як завжди. — Він усміхнувся й пройшов усередину.

P036	— Так, Джоне, просив же тебе не змішувати мови! Мені цих англійських запозичень і так у житті вистачає. Ти ж чудово володієш і російською, і заморською, будь ласкавий.

P037	— Гаразд, — буркнув він і підійшов до холодильника. — Дмитре Івановичу, а це що у вас у холодильнику? Згадуєш молодість з ірландським?

P038	— На старість захотілося розважитися. Одне будеш? — запитав я, відчиняючи холодильник.

P039	— Я за кермом. Залишу це на твоїй совісті. Як почуваєшся? Готуєшся до великого свята? Наступний тиждень твій!
