P156	— Тут душу не можна скалічити, для цього існує Земля.

P157	— Ось як… Гарна новина. Власне, сім запитань. — Я знову сів.

P158	— Уважно вас слухаю. — Вона поправила волосся й подивилася на мене своїми дивовижними чорними очима.

P159	— Почнімо з простого: як мені потрапити до боса?

P160	— Простіше нікуди! Увімкнете вдома термінал і побачите запрошення вибрати дату зустрічі. Потім система нагадуватиме про неї за тиждень, за годину й за десять хвилин до початку. Нагадування можна відхилити або прийняти. У призначену мить бос сам до вас зайде.

P161	— Чудово! Дякую. Друге запитання. Перед співбесідою я стояв у величезній черзі в цьому бетонному проході й бачив нескінченну кількість людей. А співбесіда в усіх така сама, як у нас зараз? Чи є відмінності?

P162	— Коли зрозумієте причину, дякувати вже не захочеться. Не зовсім. Сама співбесіда приблизно однакова, але обстановка, приміщення, моя зовнішність і взагалі все, що їй передувало, ґрунтуються на фантазіях душі. Навіть те, як ви потрапили до цієї кімнати, — лише ваше уявлення про чистилище.

P163	— Я так розумію, і поняття раю та пекла — теж із моєї голови? — підсумував я.

P164	— Саме так. У нас це називають верхніми й нижніми рівнями, а в ідолопоклонників — сонцем і місяцем. Перед розмовою ми отримуємо все, що душа знає про ці уявлення, аби легше було порозумітися. Навіть канцелярщина в моїй мові пов’язана з тим, якою ви уявляли людину, що проводитиме цю розмову.

P165	— Як на мене, це звучить більш ніж переконливо, — з нотками офіційності заявив я.

P166	— Що у вас далі за списком?

P167	— Чи можу я зустрічатися з рідними, близькими або просто відомими людьми у своєму раю?

P168	— Ні.

P169	— Із чим це пов’язано?

P170	— Дивіться. Яке в нас правило номер один? — Вона глянула просто на мене, підняла праву руку й показала один палець.

P171	— «Усім має бути добре й чудово кожної миті перебування».

P172	— Правильно. Якщо хочете посумувати — будь ласка, але на самоті й у власному раю. А тепер уявіть: сюди потрапила душа вашої дружини, сина, колишньої, президента чи самого Ейнштейна. Ви проговорили хвилину, годину, день, рік, сто років. Колись вам усе-таки захочеться відволіктися, відпочити, на день повернутися до спогадів. Що це породить?

P173	— Образу?

P174	— У кращому разі! Ми перебрали безліч варіантів. Усе випробували — неперевірених гіпотез у нас не лишилося. Зрештою зупинилися на «Боганеті» та поверненні до спогадів. Тільки так. Сумувати душа може лише за власним бажанням і на самоті. Нікого іншого вона не образить.

P175	— Бездоганні факти. Не прискіпаєшся.

P176	— Не перше століття на світі живемо.

P177	— Часу у вас уже точно було вдосталь. Маленьке уточнення: а як ви все це перевіряєте? Як розумієте, що ось так працює, а отак — ні?

P178	— У нас є випробувальний департамент. Його працівники беруть кілька десятків тисяч душ і тестують на них нові методи в прискореному режимі. За одну мить проганяють весь дослід, обробляють дані й роблять висновки. Архікерівництво їх розглядає, а бос схвалює, скасовує або повертає на доопрацювання.

P179	— А хіба Бог не знає всього?

P180	— Бог, звісно, знає. Але всім потрібні робота, мета й сенс буття. Навіть начальникам угорі та внизу. От він і спрямовує, а не вирішує за всіх.

P181	— Дякую за докладну відповідь.

P182	— Це моя робота. Що далі?

P183	— Чи можу я потрапити до свого пекла? Або хоча б якось подивитися на нього збоку?

P184	— Ви й так чудово його знаєте. Немає сенсу уявляти в деталях.

P185	— Ну, це як книжка й фільм. Часто маєш лише загальне враження, а хочеться побачити нюанси.

P186	— А хіба бачення режисера, акторів, сценаристів і всієї знімальної групи не криється саме в деталях? Хіба це не те, як вони зрозуміли й побачили всі сцени?

P187	— Теж правда.

P188	— Отже, відповідь така: цієї можливості ви не маєте, бо вона вам і не потрібна.

P189	— Гаразд, сперечатися не буду. Начерки в голові вже є: проживати найстрашніші миті життя.

P190	— Навіть гірше. Коли ви звикнете до власних мук, вас кидатимуть у тяжчі спогади інших людей. Їх зраджували ще жорстокіше, з них знущалися ще витонченіше, вони нудьгували в сотні разів сильніше. Уявіть себе: ви постійно прагнете чогось нового, а вас прив’язують до дивана й показують цілковиту дурницю без крихти цікавої інформації. Знову й знову. З часом ви відчуваєте, що тупієте. І коли вже цілком усвідомили, що стали овочем, вас повертають до улюбленої книжки, раптового сюжетного повороту, емоційного зізнання чи викриття головного лиходія у фільмі. Дають знову відчути всю силу авторського задуму — і радість від того, що ви за крихтами інформації наперед угадали розвиток сюжету. Ви збагнули, яка це ейфорія — знати. І тут… вас знову перетворюють на бездумний овоч! І ви відчуваєте кожну мить. Гра контрастів.

P191	— Жах! Який жах! — Від уявленого я схопився й похолов дужче за сталь стільця, на якому сидів. — Це нелюдяно!

