P231	— Складна арифметика.

P232	— Коли просто — не так цікаво. Ви ж самі це казали про навчання. І нарешті стара добра <i>заздрість</i>! Як і в усьому, тут треба знати міру. Якщо заздрість до чужого щастя чи майна з’їдає вас зсередини й штовхає на босоневгодні діяння — розплачуйтеся, так би мовити, дзвінкою монетою сумління. Якщо ж вона спонукає вас досягати свого — це все ще сумно, але не критично. Кожен має ставити собі мету й досягати її заради себе та власних потреб, а не через бажання заволодіти чужим. Такі справи.

P233	— Нічого й не скажеш, — підсумував я. — Виходить, Карлін мав рацію.

P234	— Хто це й у чому мав рацію?

P235	— Та так, один відомий комік. Він вважав так: «Будь завжди відданим кожному й чесним із кожним. І постарайся нікого не вбити». Щоправда, він додавав: «Якщо інші не моляться іншому богові». Але це ми вже обговорювали.

P236	— Правильно. Хочете ще щось додати?

P237	— Лише одне правило: «Залиште свою релігію при собі».

P238	— Як ви вже розумієте, нам така заповідь точно не потрібна.

P239	— А чому? Якщо не розуміти дослівно, ідея ж проста: не нав’язувати своїх переконань людям, які не хочуть їх слухати. Коли людина ввічливо сказала «ні», не треба так наполягати, щоб їй закортіло послати вас у далеку пішу мандрівку.

P240	— Думаю, ідея хороша. Я доповім про це керівництву. — Наталія встала й узяла теку зі столу.

P241	— Дякую, буду вдячний. Здається, запитань більше немає. — Я спокійно підвівся зі стільця й рішуче простягнув їй руку на прощання.

P242	— Чудово! Тоді… — Вона потиснула мені руку й указала на вихід. — Ось, прошу любити й шанувати: ваш дім!

P243	Ми пройшли крізь двері, і я опинився на невеликій лісовій галявині біля широкої повноводої річки. Саме так я й уявляв рай. Зустрічатися з Богом поки не хотілося: я так і не зрозумів, про що його запитати. Ось придумаю — і неодмінно навідаюся. Шкода, що як агностик маю лише одну нагоду. Певно, у вірян усе трохи інакше. Я сів на траву, глянув у небесну блакить і почав обмірковувати план нового, вічного життя.

P244	<b>P.S. Головне запитання</b>

P245	Трохи згодом я зрозумів, про що хочу запитати Творця всіх живих і мертвих. За першість у моїй голові довго змагалися кілька питань, але переможця не було. Одне звучало так: «Чому існує зло?» Спочатку воно здавалося важливим, та я усвідомив, що знаю відповідь. Зла немає — є хибні людські рішення. Творець дав людям самостійність, а отже, не хотів втручатися в їхні проблеми. То чому він має їх розв’язувати? Люди повинні жити для себе й відповідати за власний вибір. А вже віддати кожному по заслузі — найперший обов’язок Творця. Я сів за термінал і прийняв запрошення на зустріч із «босом», як називала його Наталія. Запитання чекало свого часу.

P246	За кілька митей у двері постукали. Я підвівся з-за столу й кинувся відчиняти. Не тямлячи себе від нетерпіння, смикнув за ручку й побачив його. Хоч як прикро це визнавати, я завжди думав: якщо Бог існує, то має бути схожий на Зевса або просто на сивобородого старого, ще дужого тілом і духом. Саме такого я й побачив.

P247	— Вітаю, сину мій, — сказав він, переступаючи поріг. — Знаю, за земного життя ти в мене не вірив, але ось він я. Люблю дивувати своїх дітей. Не соромся емоцій.

P248	— На співбесіді я б здивувався, але не зараз. Я вже встиг підготуватися, та й мені казали, що тут усе постає таким, як уявляє душа. Ось і ти точнісінько з моїх фантазій, — промовив я, стримуючи подив.

P249	— Твої емоції видно, тож не варто їх приховувати. У тобі є трепет і страх, надія, віра, навіть любов. Та як хочеш.

P250	— Дякую, Всевишній. — Я чомусь вклонився йому й пропустив усередину.

P251	Кілька хвилин я все ще дивився на нього, а він на мене. Потім зібрався з думками.

P252	— Поки не побачив тебе, я був певен, що запитаю: «Чому ти не зробиш усіх людей щасливими?» Щоб людина прожила частину життя, а потім — хоп! — і все зрозуміла. Чим хоче займатися до кінця днів. До чого лежить душа. Зрозуміла щось таке ж прекрасне, як слова рідної людини: «Я тебе люблю». Як довіра дитини, яка після довгого дня каже тобі «тату», залазить на коліна, притуляється до грудей і мирно засинає. Як життя в голих кронах дерев, що прокидаються після довгої зими. Можливо, як у мене, душа роками боятиметься й відкладатиме — не наважуватиметься робити те, для чого народилася. Тоді можна допомогти інакше: поволі, але наполегливо засипати людину ідеями, знаками й прикладами. Підказувати, що саме цим їй треба займатися, що саме тут вона досягне успіху й буде потрібна. Чому ти не можеш зробити всіх людей щасливими? — Я збуджено кружляв кімнатою, не знаходячи спокою. — Поки міркував над своїм запитанням, відкинув запитання про зло у світі. А побачивши в дверях тебе, істоту немислиму й незбагненну, зрозумів, що й на запитання про щастя знаю відповідь. Яку? Ти не хочеш втручатися в людське життя. Хоч би як мені цього хотілося, ти створив нас, щоб ми самі дорослішали й училися на власних помилках. — Я сів на кушетку й перевів подих. — І цього вже не змінити. Тепер, дивлячись у твої мудрі очі, я поставлю найскладніше запитання світобудови. Те саме, яке ставив собі біля вогню, під шум хвиль чи шелест листя. Воно непокоїло мене і в десять років, і в сімдесят. І ось моє запитання. Куди відлітають качки взимку?

P253	— Цього, Дмитре Івановичу, навіть я не знаю. — Він усміхнувся, розвернувся й пішов собі.
