I0915 00:50:39.617255       1 resolver.go:85] Model ID gemini-3.8-flash not in local config, defaulting to CCPA
I0915 00:50:39.617324       1 resolver.go:111] Model resolved via default
I0915 00:50:39.617431      24 server.go:1560] Starting language server process with pid 635526
I0915 00:50:39.617727      24 server.go:1613] Language server version: 1.2.2
I0915 00:50:39.617736      24 server.go:613] Language server will attempt to listen on host localhost
I0915 00:50:39.621217      24 server.go:628] Language server listening on random port at 42827 for HTTPS (gRPC)
I0915 00:50:39.621306      24 server.go:636] Language server listening on random port at 34863 for HTTP
W0915 00:50:39.797316      44 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0915 00:50:39.797365      44 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0915 00:50:39.797727      44 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0915 00:50:39.797776      44 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
I0915 00:50:39.798947      86 store_client.go:680] summary store: starting background reconciliation (trigger=startup)
W0915 00:50:39.800115      24 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0915 00:50:39.800136      24 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0915 00:50:39.800240      24 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0915 00:50:39.800264      24 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0915 00:50:39.800376      24 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0915 00:50:39.800397      24 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0915 00:50:39.800457      24 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0915 00:50:39.800486      24 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0915 00:50:39.800545      24 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0915 00:50:39.800557      24 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0915 00:50:39.800597      24 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0915 00:50:39.800606      24 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0915 00:50:39.801004      24 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
W0915 00:50:39.801303      24 defaults.go:778] failed to get cs path: cs path /usr/bin/cs invalid
I0915 00:50:39.801327      24 manager.go:108] Creating trajectory store manager with proto store and SQLite store
W0915 00:50:39.802321      24 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0915 00:50:39.802343      24 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0915 00:50:39.802431      24 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0915 00:50:39.802468      24 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0915 00:50:39.802962     150 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0915 00:50:39.802987     150 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0915 00:50:39.803084     150 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0915 00:50:39.803093     150 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
I0915 00:50:39.803185     150 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
I0915 00:50:39.803192     150 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
I0915 00:50:39.803304     150 manager.go:100] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0915 00:50:39.803313     150 manager.go:88] Migration [MIGRATION_ID_LIN_BUILTIN_TO_MARKETPLACE] is disabled, skipping entirely
I0915 00:50:39.809035      24 server.go:3003] Auth succeeded, refreshing features and managers
W0915 00:50:39.809064      24 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0915 00:50:39.809084      24 errorreport.go:224] error getting token source: You are not logged into Antigravity.
I0915 00:50:39.809097      86 store_client.go:730] summary store: reconciliation complete, synced 60 records
E0915 00:50:39.809186      24 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0915 00:50:39.809228      24 server.go:3009] State refresh took 0ms
I0915 00:50:39.809233      24 server.go:3019] [RemoteControl] Subscription callback triggered.
I0915 00:50:39.809282      24 server.go:3022] [RemoteControl] RemoteControlEnabled value: false
I0915 00:50:39.809286      24 server.go:3637] [RemoteControl] Session toggle is off, staying disconnected
I0915 00:50:39.809290      24 server.go:3348] [RemoteControl] Resolved proxyServerURL: ""
I0915 00:50:39.809315      24 profiler.go:231] Continuous pprof profiling is disabled.
W0915 00:50:39.809331      86 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0915 00:50:39.809380      86 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0915 00:50:39.809417     156 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0915 00:50:39.809435     156 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0915 00:50:39.809503     156 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0915 00:50:39.809508     156 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
