I0914 21:53:58.675337       1 resolver.go:85] Model ID gemini-3.8-flash-high not in local config, defaulting to CCPA
I0914 21:53:58.675395       1 resolver.go:111] Model resolved via default
I0914 21:53:58.675553      66 server.go:1560] Starting language server process with pid 568700
I0914 21:53:58.675962      66 server.go:1613] Language server version: 1.2.2
I0914 21:53:58.675973      66 server.go:613] Language server will attempt to listen on host localhost
I0914 21:53:58.678809      66 server.go:628] Language server listening on random port at 39291 for HTTPS (gRPC)
I0914 21:53:58.678909      66 server.go:636] Language server listening on random port at 34647 for HTTP
W0914 21:53:58.862502      46 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:53:58.862558      46 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0914 21:53:58.863101      46 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0914 21:53:58.863157      46 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
I0914 21:53:58.864612     100 store_client.go:680] summary store: starting background reconciliation (trigger=startup)
W0914 21:53:58.866378      66 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:53:58.866400      66 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:53:58.866517      66 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:53:58.866554      66 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:53:58.866780      66 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:53:58.866816      66 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:53:58.866887      66 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:53:58.866916      66 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:53:58.867135      66 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:53:58.867154      66 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:53:58.867303      66 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:53:58.867319      66 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0914 21:53:58.867732     100 store_client.go:730] summary store: reconciliation complete, synced 31 records
W0914 21:53:58.867856     100 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:53:58.867883     100 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:53:58.867927     100 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:53:58.867941     100 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:53:58.868008      66 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
W0914 21:53:58.868460      66 defaults.go:778] failed to get cs path: cs path /usr/bin/cs invalid
I0914 21:53:58.868513      66 manager.go:108] Creating trajectory store manager with proto store and SQLite store
W0914 21:53:58.869674      66 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:53:58.869714      66 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:53:58.869813      66 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:53:58.869839      66 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0914 21:53:58.871657       8 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0914 21:53:58.871687       8 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0914 21:53:58.872011       8 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:53:58.872212       8 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
I0914 21:53:58.872275       8 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:53:58.872280       8 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
I0914 21:53:58.872380       8 manager.go:100] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:53:58.872390       8 manager.go:88] Migration [MIGRATION_ID_LIN_BUILTIN_TO_MARKETPLACE] is disabled, skipping entirely
I0914 21:53:58.878096      66 server.go:3003] Auth succeeded, refreshing features and managers
W0914 21:53:58.878166      66 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:53:58.878193      66 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0914 21:53:58.878304      66 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0914 21:53:58.878355      66 server.go:3009] State refresh took 0ms
I0914 21:53:58.878363      66 server.go:3019] [RemoteControl] Subscription callback triggered.
