I0914 22:13:54.098043       1 resolver.go:85] Model ID gemini-3.8-flash not in local config, defaulting to CCPA
I0914 22:13:54.098105       1 resolver.go:111] Model resolved via default
I0914 22:13:54.098236      66 server.go:1560] Starting language server process with pid 577740
I0914 22:13:54.098604      66 server.go:1613] Language server version: 1.2.2
I0914 22:13:54.098618      66 server.go:613] Language server will attempt to listen on host localhost
I0914 22:13:54.101392      66 server.go:628] Language server listening on random port at 41501 for HTTPS (gRPC)
I0914 22:13:54.101491      66 server.go:636] Language server listening on random port at 42341 for HTTP
W0914 22:13:54.282729      44 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 22:13:54.282785      44 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0914 22:13:54.283190      44 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0914 22:13:54.283247      44 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
I0914 22:13:54.284052     114 store_client.go:680] summary store: starting background reconciliation (trigger=startup)
W0914 22:13:54.285081      66 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 22:13:54.285104      66 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 22:13:54.285218      66 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 22:13:54.285236      66 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 22:13:54.285323      66 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 22:13:54.285336      66 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 22:13:54.285407      66 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 22:13:54.285426      66 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 22:13:54.285486      66 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 22:13:54.285497      66 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 22:13:54.285535      66 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 22:13:54.285549      66 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 22:13:54.285948      66 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
W0914 22:13:54.286261      66 defaults.go:778] failed to get cs path: cs path /usr/bin/cs invalid
I0914 22:13:54.286277      66 manager.go:108] Creating trajectory store manager with proto store and SQLite store
W0914 22:13:54.287184      66 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 22:13:54.287219      66 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 22:13:54.287317      66 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 22:13:54.287362      66 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0914 22:13:54.287822      73 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0914 22:13:54.287936      73 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
