I0915 00:55:12.326699       1 resolver.go:85] Model ID gemini-3.1-pro-high not in local config, defaulting to CCPA
I0915 00:55:12.326768       1 resolver.go:111] Model resolved via default
I0915 00:55:12.326872      24 server.go:1560] Starting language server process with pid 636739
I0915 00:55:12.327098      24 server.go:1613] Language server version: 1.2.2
I0915 00:55:12.327107      24 server.go:613] Language server will attempt to listen on host localhost
I0915 00:55:12.331498      24 server.go:628] Language server listening on random port at 34037 for HTTPS (gRPC)
I0915 00:55:12.331610      24 server.go:636] Language server listening on random port at 46357 for HTTP
W0915 00:55:12.519878      47 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0915 00:55:12.519921      47 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0915 00:55:12.520221      47 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0915 00:55:12.520270      47 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
I0915 00:55:12.521824     102 store_client.go:680] summary store: starting background reconciliation (trigger=startup)
W0915 00:55:12.522780      24 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0915 00:55:12.522803      24 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0915 00:55:12.522930      24 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0915 00:55:12.522949      24 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0915 00:55:12.523058      24 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0915 00:55:12.523076      24 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0915 00:55:12.523141      24 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0915 00:55:12.523158      24 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0915 00:55:12.523227      24 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0915 00:55:12.523240      24 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0915 00:55:12.523278      24 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0915 00:55:12.523288      24 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0915 00:55:12.523540      24 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
