P001	<b>§ 1. Сьогодні свято у дівчат</b>

P002	Сьогодні хочу завчасно відсвяткувати свій день народження. Давно вже мені — а маю я цілих вісімдесят вісім — не випадало їсти нічого шкідливого. Сухарики, шоколадки, цукерки — я для такого застарий. Принаймні намагався їх уникати. Та я все-таки звичайна людина. Просто не хотів стати одним із тих дідів, які ледве ходять, бурчать — хоча це як коли — і всіх дратують. Я розумів: мені, як і більшості людей, часто нема на кого спертися. Сам собі підтримка. Певно, якби вірив у Бога, можна було б розраховувати ще й на нього, але це максимум. Щоб на старість не залежати від інших, я займався спортом. Не атлет, зате почувався непогано. Ще замолоду побачив, до чого себе довів без вправ, із недбалим харчуванням та іншими шкідливими звичками, — замислився й кілька разів спробував виправити становище. Виявилося: коли маєш мету, перешкод не помічаєш. Не все вдалося змінити, але тримався як міг, щоб знову не зриватися на шкідливе. Адже в здоровому тілі — здоровий дух! Так?

P003	За цими роздумами я доплентався до магазину й підійшов до прилавка із солодощами. Може, все-таки пряничків? О, муки вибору! Ех, гаразд, візьму плитку молочного шоколаду з лісовими горіхами — мого улюбленого. Далі за списком сухарики! І це я не про черствих, байдужих чоловіків середнього віку після двадцяти років шлюбу. Надворі вже кінець другого тисячоліття, а в цьому місті все те саме: захмарні ціни, вічний поспіх і мораль на самому дні. І знову майнула думка: у віддаленому селищі звичайні висушені шматочки хліба коштують удвічі, а часом і втричі дешевше! Так, оренда, логістика та інша економічна лабуда, але ж не настільки! Годі бурчати, діду. Бери вже пачку сирних — і рушай. А кульмінація моєї подорожі — алкоголь.

P004	Біля полиці з пивом я помітив сварливу жінку років сорока. Вона на весь магазин пояснювала бідолашному студентові, що яблука подорожчали: ще тиждень тому кілограм коштував тридцять рублів, а тепер уже тридцять один. Шкода хлопця. То була Надія Михайлівна Руліна. Вона мешкала в моєму під’їзді, кількома поверхами нижче. Знав я про неї небагато. Лише те, що жила з матір’ю-пенсіонеркою і, подейкували, добре про неї дбала. Шкідлива була — як солона рибка з пивом для хворого на виразку. Краще намотаю ще одне коло супермаркетом і перечекаю, доки вона піде, щоб і мене не затягло у вир цієї безглуздої злості.

P005	Дорогою я знову ловив на собі зацікавлені погляди молоді. Ось чого завжди прагнув: не дати побуту себе зламати. Навіть у моєму віці ходжу нехай повільно, зате впевнено й із рівною спиною. «Так, так, так… У тебе ж є корсет для спини й усе інше», — скаже дехто. І що? Принаймні досі ходжу сам, а не їжджу на «мобільному пристрої для пересування». Та й, хвала всім богам, іще при своєму розумі, Альцгеймерові не дався. Виявилося, що мови й творчість допомагають берегти пам’ять. Отже, навчання за обміном і письменство таки допомогли мені уникнути сумної долі? Ах, чорт! Знову через роздуми проминув прилавок зі спиртним. Телепень.

P006	То чим святкуватимемо день народження, Дмитре Івановичу? Мабуть, візьму перевірений часом легендарний «Guinness». Замолоду я поїздив Європою в безуспішній гонитві за розумінням, ким хочу стати й чим займатися в житті. Був завсідником тамтешніх творчих барів і палким прихильником темних сортів. Та найбільше любив усе-таки цього ірландського побратима. Подобалася мені маленька традиція: стаут з азотною капсулою наливають у келих не по стінці — просто перевертаєш банку й дивишся, як переливаються темно-коричневі відтінки. Насичене пиво з приємною гірчинкою й довгою історією. Ікона для тих, хто любить темніше. Справжній «Guinness» з’явився в наших універсамах лише 2050 року: лише тоді ірландці нарешті вирішили повноцінно вийти на наш ринок. А доти тутешнє пиво викликало відчуття, ніби спритний посудомийник зішкріб увесь нагар із дека, розмішав із цукром і налив у банку. Під навалою спогадів я вирішив узяти дві. Гуляти так гуляти!

P007	От і все, покупки зроблено — можна смакувати. На касі знову Ксюша. Вона мені подобається: молода, охайна й незмінно ввічлива. Працює тут лише кілька тижнів і є донькою директора, який завжди каже їй: «Щоб зрозуміти, як керувати, доню, спершу треба зрозуміти, як працювати». Чи залишиться вона такою ж ввічливою після кількох місяців у найпопулярнішому — читай: найдешевшому — магазині поблизу? Час покаже.

P008	— Вітаю, Дмитре Івановичу! Як у вас сьогодні настрій? — з ледь помітною усмішкою запитала дівчина.

P009	— Живий та бадьорий, Ксеніє. Коли щасливий, то кожен день — мов свято. — Я весело всміхнувся.

P010	— Сьогодні щось відзначаєте? — здивувалася касирка й пробила солодощі. — Навіть алкоголь узяли. В останню путь зібралися? — несміливо пожартувала вона.

P011	— А можна швидше збиратися, старий хричу? — ущипливо вигукнула та сама жінка з яблуками. — Не в усіх стільки вільного часу, як у нікчемних пенсіонерів!

P012	— Ви своїй матері теж таке кажете, Надіє Михайлівно? — Я обернувся й подивився їй просто у вічі.

P013	— Не помітила, що це ви, Дмитре Івановичу! Пробачте. — Вона вдала, ніби щось шукає в телефоні. — Н-н-ні, не кажу.

P014	— Так і думав. — Я повернувся до дівчини й нарешті відповів на її запитання: — В останню путь збираюся вже років вісім, та постійно спізнююся на потяг. Скільки з мене?

P015	— 683 рублі, — вже широко всміхаючись, відповіла Ксюша.

P016	— Дякую вам.

P017	Я взяв свої скромні покупки, порозпихав по кишенях і почимчикував до виходу. Як же декому важко прийняти просту істину: «Живи для себе й не заважай іншим».

P018	Мій дім стояв на Лісовій вулиці, поряд із парком, що тягнувся вздовж набережної. Цю вулицю негласно вважали найпрестижнішою в місті. Чудове місце, як і весь район! Навколо парки, школи — і жодних заводів, промислових зон чи величезних торговельних центрів. Тиша й благодать. Мені пощастило стати доволі відомим російським письменником-фантастом другої половини XXI століття. Не мільйонером, звісно, але за життя назбиралося на скромну двокімнатну квартиру в доброму районі. Письменникові важко заробляти. Хай ти новий Чехов чи Пушкін, хай пишеш геніально — кому ти потрібен? А якщо й потрібен, то хто тебе знайде? Тож, працюючи соціоінженером, я вкладав гроші у власне просування та переклади книжок і оповідань. Поступово зібрав невелике коло відданих читачів. Років за десять заробляв уже приблизно стільки само, але тільки улюбленою справою. Допомогла орієнтація і на західну, і на російськомовну аудиторію. Мене розуміли і ті, і ті.

P019	Жив я у двокімнатній квартирі з високими стелями, у старому будинку. Для однієї людини вона була доволі простора. Перша кімната — студія: кухня, об’єднана з вітальнею, і вихід на балкон. Друга — спальня й водночас кабінет. Так повелося ще замолоду: працював і спав в одній кімнаті, бо часто втомлювався настільки, що відходити від письмового столу далі ніж на метр уже не хотілося. Жив я сам, на останньому поверсі, й бачив парк як на долоні. Краєвид був неймовірний. Душу тішила сама думка, що цією пишнотою можна милуватися до кінця своїх днів.

P020	Роззувшись і знявши осінню куртку, я пішов на кухню. Була шоста вечора, тож можна годинку пописати, а потім подивитися щось із кінокласики. У холодильнику ще лишалося вдосталь учорашніх покупок — вистачить на цілих п’ять днів. А там уже приїде родина й готуватимемося до свята. Щось і собі поцуплю перекусити. Поклавши покупки в холодильник, я вийшов на просторий, аж вісім квадратних метрів, балкон. Там стояли дві маленькі штучні пальми, дерев’яний столик, кілька стільців і механічний навіс від дощу. Переді мною відкривався бездоганний краєвид: «Височенні дуби й сосни ховали від спеки бідолашних мандрівників у паркових нетрях. За густим листям велетнів майже не було видно десятків, а часом і сотень людей. Удалині навіть мерехтіла синява річки». Постоявши кілька хвилин, я повернувся до кімнати.

P021	Хоч уже й старий, а досі творю. З віком дедалі важче цілий день сидіти й писати. Та технології вдосконалилися, і вже багато років я все диктую голосовому помічникові. Він переносить слова на електронний папір, розставляє розділові знаки, перевіряє правопис — на мій сором, російську грамоту я так до пуття й не опанував — і розбиває текст на частини. Завдяки хмарній синхронізації потрібна інформація доступна на всіх моїх пристроях. Чудова штука! Довічну підписку я придбав ще п’ятнадцять років тому, тож помічник ідеально знає мої улюблені звороти, фрази й манеру оповіді. Як і будь-яка система машинного навчання, він прискорює роботу в кілька разів: допомагає опрацьовувати сюжет і героїв, підказує ще не вживані в оповіданні слова, щоб урізноманітнити мову. Звати його Брандт. В одному з моїх улюблених фільмів, «Великому Лебовські», був бездоганний дворецький Брандт. Завжди в чудовому настрої, він так запав мені в душу, що я подумав: «Ось матиму особистий штучний інтелект — назву його Брандтом». Це не штучний інтелект, але ім’я він заслужив.

P022	— Привіт! Що там у нас на порядку денному?

P023	— Вітаю, сер! В оповіданні «Крутихвістка» Іллая потрапляє на таємне засідання Альянсу Сильних як ескортниця одного з генералів шиперів. Ви планували пояснити, звідки головна героїня дізналася про задуми Каргліанської Імперії видобути берилій для нового покоління роботів, які пройдуть тест Кіцина.

P024	— А конкретніше?

P025	— «Упевнено вона зайшла до таємних приміщень ресторану, оповитих димом електричних сигар престижного дому Кіацитів. Генерал шиперів Кінскі розслаблено ловив захоплені погляди колег, прикуті до його супутниці. Він знав, за що платив. Іллая ще не розуміла, куди потрапила, але професійним оком оцінила майстерно дібране вбрання присутніх і збагнула: ці люди вершать справи вселенського масштабу. Так воно й було — невдовзі мало розпочатися засідання Альянсу. Бувши людиною тямущою…» — голос читав далі з бездоганною дикцією та інтонацією.

P026	— Може, «освіченою»? — перебив я Брандта. — Або «кмітливою».

P027	— «Досвідченою» більше пасуватиме цьому персонажеві, сер, — підказав він.

P028	— Згоден. Продовжуймо.

P029	Після години роботи над книжкою я почув дзвінок у двері. Хто б це міг бути? Гостей сьогодні не намічалося.

P030	— А, Джоне! Заходь, сину. Радий тебе бачити! — здивовано сказав я, відчинив двері й подав йому плічка для куртки.

P031	— Hello, батьку! Як поживаєш? Пишеш черговий шедевр? — іронічно запитав Джон, знімаючи куртку.

P032	— Як завжди! Думаю, це буде шедевр посередності.

P033	— Тобто? — здивувався він, роззуваючись.

P034	— Своєю посередністю, заїждженим сюжетом і типовими персонажами оповідання буде просто геніальне!

P035	— Гуморист ти, father! Як завжди. — Він усміхнувся й пройшов усередину.

P036	— Так, Джоне, просив же тебе не змішувати мови! Мені цих англійських запозичень і так у житті вистачає. Ти ж чудово володієш і російською, і заморською, будь ласкавий.

P037	— Гаразд, — буркнув він і підійшов до холодильника. — Дмитре Івановичу, а це що у вас у холодильнику? Згадуєш молодість з ірландським?

P038	— На старість захотілося розважитися. Одне будеш? — запитав я, відчиняючи холодильник.

P039	— Я за кермом. Залишу це на твоїй совісті. Як почуваєшся? Готуєшся до великого свята? Наступний тиждень твій!

P040	— Та в моєму віці вже особливо й не помічаєш. Радше це привід зібратися всім разом і поспілкуватися. Та й відмовитися ніхто не зможе: виховали вас добре, совість не дозволить. Принаймні сподіваюся. Не дозволить же? — я з цікавістю подивився на сина, а коли той кивнув, продовжив: — Мені, старому, можна трохи й пограти на струнах вашої відповідальності.

P041	— Як скажете. А що сьогодні святкуєш?

P042	— Переваги самотності. Усе-таки святкувати з родиною й наодинці із собою — різні речі. Як і задоволення від процесу. Вирішив поміркувати про життя й буття простого російського письменника.

P043	— Воля ваша. Я тоді піду, просто хотів дізнатися, чи не треба тобі чогось і як ти готуєшся до свята. Пам’ятай, що із серденьком і твоїм діабетом жарти погані! Будь обережний, будь ласка.

P044	— Якось усе життя жив і не помирав. Розберуся, не хвилюйся. Дякую, що заїхав!

P045	— Я завтра ще зранку буду й занесу продукти, а Маша ближче до вихідних приїде готувати. Ключі в мене із собою, тож зайду сам.

P046	— Тільки обережно, бо ще налякаєш моїх жінок. Потім утомлюся їх заспокоювати, — сказав я, проводжаючи Джона до виходу.

P047	— Тату, годі вже свої віртуальні моделі жінками називати. Це просто код! Сам же знаєш, не профан у комп’ютерних справах, — дорікнув син.

P048	— Жартую!

P049	— Усе, тоді бувай, Дмитре Івановичу. Бережи себе. Я пішов! — обійнявши мене, додав він. — Люблю тебе!

P050	— Іди вже, красунчику. Я тебе теж.

P051	Зачиняючи двері, я вже згадував його дитинство. Лише кілька років в Англії подарували мені таке диво, як перша дитина. Ніколи б не подумав, що матиму сина. А тим паче що його зватимуть Джон. Джон Дмитрович! Жарт долі, нічого не скажеш. Так, де там пиво з батьківщини лепреконів та горщиків із золотом? Час нам познайомитися ближче…

P052	<b>§ 2. Знепритомнів. Отямився. Гіпс</b>

P053	Найбільше у світі я боявся… не встигнути. Не встигнути довчитися, одружитися, стрибнути з парашутом, схуднути, стати великим, написати роман. Не побачити, як виросте дитина, не дожити до старості. Боявся, що на все забракне часу. До тридцяти років я просиджував штани вдома: не гуляв, не пізнавав світу, плював на людей, жив самим розумом і забував про тіло. Грати в ігри, звісно, весело, як і дивитися фільми, читати книжки чи готувати щось смачне. Але зрозуміти, хто ти, можна лише поруч з іншими. Як дізнатися, що ти при здоровому глузді, якщо не бачив божевілля? Що таке зло, якщо не знаєш доброти? А краса — якщо не бачив потворності? Кожен бачить світ по-своєму, та розібратися в собі допомагає й те, що подобається або дратує в чужих поглядах. Звісно, це лише моя думка. Ніколи й нічого нікому не нав’язував. Поки сидів удома, мені здавалося, ніби я знаю себе й розумію, чого хочу. Та лише справжні життєві ситуації допомогли збагнути, що до чого. Так, ніхто не скасовував самоаналізу й рефлексії. Але в нескінченному самопізнанні втрачаєш зв’язок із матеріальною дійсністю, а в бездіяльному житті — із самим собою.

P054	Коли в дитинстві мене питали, ким я хочу стати, я завжди казав: «Хочу бути щасливим». І свято дотримувався свого плану змалечку! Просто не завжди знав, де те саме щастя знайти. Тридцять років. Саме тоді все змінилося. Я перестав собі брехати й чесно зізнався, ким хочу стати. Спочатку…

P055	— Ай-ай-ай! Боляче ж! — скрикнув я, розплющуючи очі.

P056	— А нічого плутатися під ногами! Ми не безсмертні тут у черзі годинами стояти, — огризнувся якийсь чолов’яга.

P057	— Ти ще погорлай на шановану людину… Власне, де я? — Наді мною нависала добротна бетонна стеля, хоча й не без вад. Нескінченний коридор із незліченною кількістю дверей приголомшував розмірами. — Що це за місце? ЖКГ?

P058	— Що-що? Словом, не гай часу, діду! Дивись, тебе он жіночка кличе. Симпатична, до речі, — аж завидки беруть. Іди краще до неї.

P059	Метрів за двадцять чи тридцять стояла миловидна жінка середнього віку в такій самій невиразно-сірій формі, як і стіни коридору. Вона всміхалася й кликала мене до себе, тримаючи в руках сіру теку. Оскільки це сон, я вже вирішив, що міг би дозволити собі молодшу жінку. Та й вродливішу, мушу зазначити, але, вочевидь, стандарти з часом дещо знизилися. Підійшовши ближче, я передумав: усе ж вона була гарна. В її очах читалися мудрість і безперечна втома.

P060	— Проходьте, Дмитре Івановичу, сідайте. — Вона пропустила мене до кімнати, де все аж моторошно біліло: стіл, стілець, стіни. Навіть її форма. Усе зливалося в сліпучу білизну. Можу заприсягтися, що допіру вона була в мішкуватому сірому одязі! Хай там як, біле — це ж добре?

P061	— Так-так. Дякую, — озвався я, сідаючи на стілець.

P062	— Мене звати Наталія Павлівна. — Вона сіла навпроти. — Я офіційна представниця компанії. Зараз ознайомлю вас із правилами поведінки у ВАТ «Чист і Лище». Як ви розумієте, вас від початку зарахували до «верхніх», тож, повірте, хвилюватися вже нема про що. Для завершення співбесіди просто дайте відповідь на кілька запитань і…

P063	— Тобто чистилище?! — здивовано скрикнув я й підвівся зі стільця. — Я що, помер? Це жарт?

P064	— По-перше, шановний, ваше збентеження й нерозуміння цілком логічні та прийнятні. У цьому разі на корекцію це ніяк не вплине, і все вже вирішено. По-друге, чи можу я вам щось запропонувати? — спокійно запитала Наталія.

P065	— Мабуть, це якийсь жарт. Сину, це ти? Я стара людина, куди мені в такому віці хвилювання?.. — Сподіваючись на розіграш, я повернувся на стілець.

P066	— До речі, якщо вас це бентежить, його можна змінити. У якому… А втім, із вашого досьє й так зрозуміло.

P067	Щойно вона договорила, я скрикнув від подиву. Руки більше не були в’ялими й не тремтіли — тепер це були сильні руки людини, у якій вирувало життя!

P068	— Що за бісівщина?! Мені знову тридцять?! Як? Де? Чому? — Я остаточно збагнув, що божеволію.

P069	— Пане Полушине, нумо без образ! — схвильовано підвищила голос співробітниця. — Інтелігентна людина, а такі слова вживаєте. Я б назвала це «чистилищиною» або, як у вашому випадку, якоюсь «янгольщиною».

P070	— Усе, приїхали. Мені тридцять. Точно сплю. Ох! А я вже й забув, скільки сили може бути в тілі. Енергії — хоч ціле поле ори! Сподіваюся, цей сон затягнеться. Відчуття неймовірні. Фокус із п’ятьма пальцями не спрацював — уві сні в мене їх завжди шість, — тож вважатиму все це надзвичайно реалістичним сновидінням або витівками мозку.

P071	— Можна продовжувати, Дмитре Івановичу? Ви готові слухати?

P072	— У такому стані — хоч до пришестя Антихриста. — Я всміхнувся, відчуваючи своє молоде тіло.

P073	— Стільки часу нам не знадобиться, — зауважила Наталія й розгорнула велику сіру теку, яка різко вирізнялася на тлі білої кімнати.

P074	— Я весь ваш, шановна!

P075	— Чудово! Люблю, коли швидко опановують себе й робота не затягується. На чому я зупинилася… А, так. Почнімо. Наша розмова матиме три етапи: біографія, правила й запитання. Готові?

P076	— До такого не підготуєшся.

P077	— Отже, біографія, — не зваживши на мої слова, продовжила Наталія. — Дмитро Іванович Полушин, народився 4 грудня 2010 року в невеликому місті. Через три роки переїхав до столиці в пошуках кращого життя. Навчався пристойно, але мав зауваження щодо поведінки. Ну навіщо ж ви так? — Наталія глянула на мене.

P078	— Просто добре вчитися нудно, — ущипливо відповів я.

P079	— Ясно. Далі. Батьків поважав, колег не бив, вередував у межах допустимого. Закінчив школу без медалей, але з гарним атестатом. Переміг у кількох олімпіадах із математики, фізики та, хоч як дивно, англійської. Щоб не обтяжувати батьків, завдяки олімпіадам вступив на бюджет до фізико-технічного інституту, на приватний факультет соціальної інженерії та штучного інтелекту. Із викладачів не кепкував. Відповідально ставився лише до фахових дисциплін: соціології, психології та програмування. На відмінно натренував усі системи машинного навчання для захисту магістерської дисертації. Подальшу особистісну кризу пережив сам, нікого не залучаючи до рефлексії.

P080	— Складний був час, — погодився я.

P081	— У тридцять років ухвалив рішення стати письменником і, цитую, «відтоді завжди був щасливий». Колишніх партнерів пробачав, теперішніх любив. Легку жовч у перші дні розставання опустимо. Був добрим батьком у міру можливостей, приділяв багато часу синові та дружині, якщо кого й ображав, то рідко навмисно. Усі ми люди, і немає нічого страшного в дошкульних кпинах час від часу. Закон порушував лише в дрібницях, здебільшого правила дорожнього руху.

P082	— Звичайна людина. Не погана й не хороша.

P083	— Не мені судити. Хоч принципи «верхніх» дещо відрізняються від ваших уявлень про мораль, та як для агностика показники у вас вельми добрі. Чого варте хоча б те, що ви «намагалися ставитися до інших так, як хотіли, щоб ставилися до вас».

P084	— Я, звісно, людина скромна, але ви, головне, не зупиняйтеся. — Я трохи розслабився й умостився на стільці зручніше.

P085	— Лестощі не входять до моїх обов’язків. Я лише зачитую протокол, — офіційно відповіла співробітниця «Чист і Лище», але кутики її губ усе-таки здригнулися в усмішці. — Продовжимо. Після зустрічі із сином відсвяткували прийдешнє свято двома банками ірландського пива. Померли уві сні. Дата смерті: 29 листопада 2098 року. Причина: зупинка серця. Простіше кажучи, від старості.

P086	— Серця? А як же профілактика, всілякі тести та інші радощі медицини? Нейромодулятори, які я тринадцять років тому встановив?

P087	— Дмитре Івановичу, у вашому віці помирають від усього. Хоч як готуйся, а смерть постукає до кожного. На Землі, принаймні. Хочете щось додати чи продовжимо?

P088	— Я ще кількох котів виростив! І одного собаку!

P089	— Це вже враховано.

P090	— Тоді рушаймо далі.
