I0914 21:38:13.474164       1 resolver.go:85] Model ID claude-opus-4-6-thinking not in local config, defaulting to CCPA
I0914 21:38:13.474206       1 resolver.go:111] Model resolved via default
I0914 21:38:13.474372      66 server.go:1560] Starting language server process with pid 552472
I0914 21:38:13.474595      66 server.go:1613] Language server version: 1.2.2
I0914 21:38:13.474602      66 server.go:613] Language server will attempt to listen on host localhost
I0914 21:38:13.477218      66 server.go:628] Language server listening on random port at 43313 for HTTPS (gRPC)
I0914 21:38:13.477298      66 server.go:636] Language server listening on random port at 37457 for HTTP
W0914 21:38:13.662136      81 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:38:13.662184      81 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0914 21:38:13.662690      81 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0914 21:38:13.662722      81 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
I0914 21:38:13.664689      46 store_client.go:680] summary store: starting background reconciliation (trigger=startup)
W0914 21:38:13.666152      66 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:38:13.666176      66 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:38:13.666298      66 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:38:13.666368      66 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:38:13.666480      66 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:38:13.666497      66 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:38:13.666543      66 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:38:13.666591      66 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:38:13.666848     105 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:38:13.666946     105 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:38:13.667030     105 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:38:13.667099     105 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:38:13.667988      66 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
W0914 21:38:13.668342      66 defaults.go:778] failed to get cs path: cs path /usr/bin/cs invalid
I0914 21:38:13.668366      66 manager.go:108] Creating trajectory store manager with proto store and SQLite store
W0914 21:38:13.668807      66 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:38:13.668857      66 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:38:13.668958      66 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:38:13.668986      66 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0914 21:38:13.669414     172 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0914 21:38:13.669449     172 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0914 21:38:13.669549     172 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:38:13.669559     172 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
I0914 21:38:13.669642     172 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:38:13.669650     172 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
I0914 21:38:13.669749     172 manager.go:100] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:38:13.669757     172 manager.go:88] Migration [MIGRATION_ID_LIN_BUILTIN_TO_MARKETPLACE] is disabled, skipping entirely
I0914 21:38:13.677627      46 store_client.go:730] summary store: reconciliation complete, synced 25 records
W0914 21:38:13.677782      46 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:38:13.677822      46 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:38:13.677940      46 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:38:13.677967      46 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0914 21:38:13.685030      66 server.go:3003] Auth succeeded, refreshing features and managers
W0914 21:38:13.685096      66 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:38:13.685119      66 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0914 21:38:13.685222      66 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0914 21:38:13.685266      66 server.go:3009] State refresh took 0ms
I0914 21:38:13.685270      66 server.go:3019] [RemoteControl] Subscription callback triggered.
I0914 21:38:13.685367      66 server.go:3022] [RemoteControl] RemoteControlEnabled value: false
I0914 21:38:13.685374      66 server.go:3637] [RemoteControl] Session toggle is off, staying disconnected
I0914 21:38:13.685378      66 server.go:3348] [RemoteControl] Resolved proxyServerURL: ""
I0914 21:38:13.685414      66 profiler.go:231] Continuous pprof profiling is disabled.
I0914 21:38:13.685519     190 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0914 21:38:13.685539     190 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0914 21:38:13.685635      66 server.go:2505] initialized server successfully in 211.226904ms
I0914 21:38:13.685662     190 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:38:13.685670     190 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
I0914 21:38:13.685707     190 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:38:13.685713     190 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
I0914 21:38:13.685775     190 manager.go:100] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] already has status MIGRATION_STATUS_COMPLETED, skipping
