I0914 21:31:25.145967       1 resolver.go:85] Model ID gemini-3.8-flash-high not in local config, defaulting to CCPA
I0914 21:31:25.146022       1 resolver.go:111] Model resolved via default
I0914 21:31:25.146180      21 server.go:1560] Starting language server process with pid 548216
I0914 21:31:25.146498      21 server.go:1613] Language server version: 1.2.2
I0914 21:31:25.146511      21 server.go:613] Language server will attempt to listen on host localhost
I0914 21:31:25.149910      21 server.go:628] Language server listening on random port at 46583 for HTTPS (gRPC)
I0914 21:31:25.150042      21 server.go:636] Language server listening on random port at 34317 for HTTP
W0914 21:31:25.345048      59 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:31:25.345167      59 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0914 21:31:25.346065      59 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0914 21:31:25.346120      59 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
I0914 21:31:25.347933      86 store_client.go:680] summary store: starting background reconciliation (trigger=startup)
W0914 21:31:25.349616      21 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:31:25.349660      21 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:31:25.349803      21 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:31:25.349830      21 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:31:25.350034      21 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:31:25.350061      21 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:31:25.350219      21 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:31:25.350257      21 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:31:25.350370      21 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:31:25.350398      21 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:31:25.350495      21 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:31:25.350521      21 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:31:25.351396      21 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
W0914 21:31:25.353459      21 defaults.go:778] failed to get cs path: cs path /usr/bin/cs invalid
I0914 21:31:25.353531      21 manager.go:108] Creating trajectory store manager with proto store and SQLite store
W0914 21:31:25.354032      21 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:31:25.354073      21 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:31:25.354161      21 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
