I0914 21:34:45.047112       1 resolver.go:85] Model ID gemini-3.1-pro-high not in local config, defaulting to CCPA
I0914 21:34:45.047162       1 resolver.go:111] Model resolved via default
I0914 21:34:45.047304      82 server.go:1560] Starting language server process with pid 550142
I0914 21:34:45.047542      82 server.go:1613] Language server version: 1.2.2
I0914 21:34:45.047551      82 server.go:613] Language server will attempt to listen on host localhost
I0914 21:34:45.050081      82 server.go:628] Language server listening on random port at 34551 for HTTPS (gRPC)
I0914 21:34:45.050147      82 server.go:636] Language server listening on random port at 33743 for HTTP
W0914 21:34:45.254956      31 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:34:45.255011      31 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0914 21:34:45.255524      31 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0914 21:34:45.255581      31 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
I0914 21:34:45.256760      76 store_client.go:680] summary store: starting background reconciliation (trigger=startup)
W0914 21:34:45.258266      82 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:34:45.258291      82 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:34:45.258394      82 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:34:45.258417      82 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:34:45.258547      82 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:34:45.258568      82 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:34:45.258652      82 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:34:45.258667      82 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:34:45.258746      82 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:34:45.258772      82 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:34:45.258852      82 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:34:45.258873      82 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0914 21:34:45.258941      76 store_client.go:730] summary store: reconciliation complete, synced 24 records
W0914 21:34:45.259031      76 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:34:45.259058      76 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:34:45.259122      76 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:34:45.259141      76 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:34:45.259396      82 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
W0914 21:34:45.259821      82 defaults.go:778] failed to get cs path: cs path /usr/bin/cs invalid
I0914 21:34:45.259843      82 manager.go:108] Creating trajectory store manager with proto store and SQLite store
W0914 21:34:45.260292      82 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:34:45.260320      82 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:34:45.260440      82 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:34:45.260470      82 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0914 21:34:45.261204     166 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0914 21:34:45.261229     166 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0914 21:34:45.261350     166 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:34:45.261361     166 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
I0914 21:34:45.261497     166 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:34:45.261547     166 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
I0914 21:34:45.261678     166 manager.go:100] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:34:45.261689     166 manager.go:88] Migration [MIGRATION_ID_LIN_BUILTIN_TO_MARKETPLACE] is disabled, skipping entirely
I0914 21:34:45.271582      82 server.go:3003] Auth succeeded, refreshing features and managers
W0914 21:34:45.271656      82 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:34:45.271685      82 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0914 21:34:45.271815      82 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0914 21:34:45.271855      82 server.go:3009] State refresh took 0ms
I0914 21:34:45.271860      82 server.go:3019] [RemoteControl] Subscription callback triggered.
I0914 21:34:45.271967      82 server.go:3022] [RemoteControl] RemoteControlEnabled value: false
I0914 21:34:45.271973      82 server.go:3637] [RemoteControl] Session toggle is off, staying disconnected
I0914 21:34:45.271977      82 server.go:3348] [RemoteControl] Resolved proxyServerURL: ""
I0914 21:34:45.272025      82 profiler.go:231] Continuous pprof profiling is disabled.
I0914 21:34:45.272119      58 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0914 21:34:45.272145      58 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0914 21:34:45.272217      58 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:34:45.272225      58 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
I0914 21:34:45.272236      82 server.go:2505] initialized server successfully in 224.896376ms
I0914 21:34:45.272287      58 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:34:45.272295      58 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
