I0914 21:44:21.464931       1 resolver.go:85] Model ID claude-opus-4-6-thinking not in local config, defaulting to CCPA
I0914 21:44:21.464973       1 resolver.go:111] Model resolved via default
I0914 21:44:21.465101      11 server.go:1560] Starting language server process with pid 557221
I0914 21:44:21.465319      11 server.go:1613] Language server version: 1.2.2
I0914 21:44:21.465327      11 server.go:613] Language server will attempt to listen on host localhost
I0914 21:44:21.468007      11 server.go:628] Language server listening on random port at 42221 for HTTPS (gRPC)
I0914 21:44:21.468081      11 server.go:636] Language server listening on random port at 42417 for HTTP
W0914 21:44:21.677448      45 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:44:21.677693      45 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0914 21:44:21.678542      45 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0914 21:44:21.678577      45 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
W0914 21:44:21.680598      67 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:44:21.680683      67 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:44:21.680784      67 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0914 21:44:21.680709      98 store_client.go:680] summary store: starting background reconciliation (trigger=startup)
E0914 21:44:21.680812      67 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:44:21.681493      11 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:44:21.681515      11 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:44:21.681596      11 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:44:21.681708      11 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:44:21.681828      11 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:44:21.681886      11 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:44:21.682069      11 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:44:21.682111      11 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:44:21.682242      11 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:44:21.682290      11 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:44:21.682369      11 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:44:21.682386      11 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:44:21.682706      31 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:44:21.682727      31 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:44:21.682777      31 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:44:21.682790      31 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:44:21.682861      11 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
W0914 21:44:21.692247      11 defaults.go:778] failed to get cs path: cs path /usr/bin/cs invalid
I0914 21:44:21.692276      11 manager.go:108] Creating trajectory store manager with proto store and SQLite store
I0914 21:44:21.692522      98 store_client.go:730] summary store: reconciliation complete, synced 24 records
W0914 21:44:21.692683      98 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:44:21.692716      98 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:44:21.692854      98 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:44:21.692883      98 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0914 21:44:21.693472     157 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0914 21:44:21.693505     157 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0914 21:44:21.693561     157 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:44:21.693568     157 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
I0914 21:44:21.693598     157 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:44:21.693601     157 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
I0914 21:44:21.693629     157 manager.go:100] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:44:21.693633     157 manager.go:88] Migration [MIGRATION_ID_LIN_BUILTIN_TO_MARKETPLACE] is disabled, skipping entirely
I0914 21:44:21.700952      11 server.go:3003] Auth succeeded, refreshing features and managers
W0914 21:44:21.701050      11 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:44:21.701090      11 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0914 21:44:21.701213      11 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0914 21:44:21.701258      11 server.go:3009] State refresh took 0ms
I0914 21:44:21.701263      11 server.go:3019] [RemoteControl] Subscription callback triggered.
I0914 21:44:21.701325      11 server.go:3022] [RemoteControl] RemoteControlEnabled value: false
I0914 21:44:21.701332      11 server.go:3637] [RemoteControl] Session toggle is off, staying disconnected
I0914 21:44:21.701336      11 server.go:3348] [RemoteControl] Resolved proxyServerURL: ""
I0914 21:44:21.701404      11 profiler.go:231] Continuous pprof profiling is disabled.
I0914 21:44:21.701509     195 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0914 21:44:21.701528     195 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0914 21:44:21.701645     195 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:44:21.701654     195 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
I0914 21:44:21.701693     195 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:44:21.701697     195 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
I0914 21:44:21.701720     195 manager.go:100] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:44:21.701723     195 manager.go:88] Migration [MIGRATION_ID_LIN_BUILTIN_TO_MARKETPLACE] is disabled, skipping entirely
I0914 21:44:21.701696      11 server.go:2505] initialized server successfully in 236.566644ms
W0914 21:44:21.701862     198 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
I0914 21:44:21.701923       1 auto_updater.go:252] Last check was less than 15 minutes ago, skipping update (fast path)
E0914 21:44:21.701936     198 errorreport.go:224] error getting token source: You are not logged into Antigravity.
I0914 21:44:21.701950       1 common.go:150] Launching CLI mode
E0914 21:44:21.701961       1 launchsteps.go:84] Failed to resolve GeminiDir ".gemini": .gemini must be an absolute path: path is not absolute, falling back to default
I0914 21:44:21.702001       1 common.go:172] CLI app data directory: /home/alexi/.gemini/antigravity-cli
I0914 21:44:21.702024       1 server.go:299] Creating CLI server backend: product=antigravity workspaceDirs=[/tmp/literary-model-k0h82fs2] appDataDir=/home/alexi/.gemini/antigravity-cli cascadeManager=true codeAssist=true
I0914 21:44:21.702054       1 composite_token_storage.go:123] Using file-based token storage because WSL environment detected
W0914 21:44:21.702058     198 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:44:21.702081     198 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0914 21:44:21.702064       1 auth_provider.go:763] [AuthProvider] SetEnableBusinessLogin called with enable: true
I0914 21:44:21.703380       1 server.go:2091] Backend project ID updated dynamically to: default-cli-project
I0914 21:44:21.703396       1 analytics.go:179] CLI startup completed (took 239.596738ms)
W0914 21:44:21.703405      72 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
I0914 21:44:21.703420       1 printmode.go:174] Print mode: starting (promptLength=3653, model="claude-opus-4-6-thinking", conversationID="")
I0914 21:44:21.703437       1 manager.go:426] Initializing CLI store manager for workspace /tmp/literary-model-k0h82fs2
E0914 21:44:21.703426      72 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:44:21.703606      72 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:44:21.703658      72 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
