I0914 21:31:25.270415       1 resolver.go:85] Model ID gemini-3.1-pro-high not in local config, defaulting to CCPA
I0914 21:31:25.270463       1 resolver.go:111] Model resolved via default
I0914 21:31:25.270571      36 server.go:1560] Starting language server process with pid 548279
I0914 21:31:25.270793      36 server.go:1613] Language server version: 1.2.2
I0914 21:31:25.270799      36 server.go:613] Language server will attempt to listen on host localhost
I0914 21:31:25.274068      36 server.go:628] Language server listening on random port at 33815 for HTTPS (gRPC)
I0914 21:31:25.274171      36 server.go:636] Language server listening on random port at 34619 for HTTP
W0914 21:31:25.470750      77 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:31:25.470807      77 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0914 21:31:25.471223      77 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0914 21:31:25.471258      77 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
I0914 21:31:25.472985     102 store_client.go:680] summary store: starting background reconciliation (trigger=startup)
I0914 21:31:25.474795     102 store_client.go:730] summary store: reconciliation complete, synced 23 records
W0914 21:31:25.475285      36 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:31:25.475335      36 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:31:25.475565      36 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:31:25.475636      36 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:31:25.475832      36 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:31:25.475868      36 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:31:25.475966      36 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:31:25.475995      36 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:31:25.476074      36 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:31:25.476120      36 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:31:25.476269      36 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:31:25.476303      36 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:31:25.476765      36 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
W0914 21:31:25.477144      36 defaults.go:778] failed to get cs path: cs path /usr/bin/cs invalid
I0914 21:31:25.477171      36 manager.go:108] Creating trajectory store manager with proto store and SQLite store
W0914 21:31:25.477566      36 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:31:25.477600      36 errorreport.go:224] error getting token source: You are not logged into Antigravity.
