I0914 21:38:13.516916       1 resolver.go:85] Model ID claude-opus-4-6-thinking not in local config, defaulting to CCPA
I0914 21:38:13.516969       1 resolver.go:111] Model resolved via default
I0914 21:38:13.517078      38 server.go:1560] Starting language server process with pid 552479
I0914 21:38:13.517312      38 server.go:1613] Language server version: 1.2.2
I0914 21:38:13.517321      38 server.go:613] Language server will attempt to listen on host localhost
I0914 21:38:13.520211      38 server.go:628] Language server listening on random port at 33887 for HTTPS (gRPC)
I0914 21:38:13.520311      38 server.go:636] Language server listening on random port at 44425 for HTTP
W0914 21:38:13.705797      88 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:38:13.705881      88 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0914 21:38:13.706292      88 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0914 21:38:13.706334      88 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
I0914 21:38:13.707149      57 store_client.go:680] summary store: starting background reconciliation (trigger=startup)
W0914 21:38:13.708097      38 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:38:13.708124      38 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:38:13.708220      38 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:38:13.708263      38 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:38:13.708362      38 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:38:13.708409      38 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:38:13.708476      38 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:38:13.708494      38 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:38:13.708555      38 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:38:13.708575      38 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:38:13.708615      38 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:38:13.708624      38 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:38:13.709088      38 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
I0914 21:38:13.709148      57 store_client.go:730] summary store: reconciliation complete, synced 25 records
W0914 21:38:13.709255      57 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:38:13.709302      57 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:38:13.709334      38 defaults.go:778] failed to get cs path: cs path /usr/bin/cs invalid
W0914 21:38:13.709351      57 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:38:13.709399      57 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0914 21:38:13.709354      38 manager.go:108] Creating trajectory store manager with proto store and SQLite store
W0914 21:38:13.709841      38 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:38:13.709862      38 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:38:13.709945      38 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:38:13.709958      38 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
I0914 21:38:13.710621     169 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0914 21:38:13.710652     169 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0914 21:38:13.710738     169 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:38:13.710747     169 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
I0914 21:38:13.710824     169 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:38:13.710833     169 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
I0914 21:38:13.710938     169 manager.go:100] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:38:13.710948     169 manager.go:88] Migration [MIGRATION_ID_LIN_BUILTIN_TO_MARKETPLACE] is disabled, skipping entirely
I0914 21:38:13.723855      38 server.go:3003] Auth succeeded, refreshing features and managers
W0914 21:38:13.723921      38 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:38:13.723988      38 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0914 21:38:13.724104      38 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0914 21:38:13.724143      38 server.go:3009] State refresh took 0ms
I0914 21:38:13.724148      38 server.go:3019] [RemoteControl] Subscription callback triggered.
I0914 21:38:13.724230      38 server.go:3022] [RemoteControl] RemoteControlEnabled value: false
I0914 21:38:13.724236      38 server.go:3637] [RemoteControl] Session toggle is off, staying disconnected
I0914 21:38:13.724240      38 server.go:3348] [RemoteControl] Resolved proxyServerURL: ""
I0914 21:38:13.724290      38 profiler.go:231] Continuous pprof profiling is disabled.
I0914 21:38:13.724400     175 manager.go:88] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
I0914 21:38:13.724421     175 manager.go:91] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
I0914 21:38:13.724522     175 manager.go:100] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:38:13.724530     175 manager.go:91] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] is enabled
I0914 21:38:13.724551      38 server.go:2505] initialized server successfully in 207.442627ms
I0914 21:38:13.724584     175 manager.go:100] Migration [MIGRATION_ID_PLUGIN_ENABLEMENT] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:38:13.724593     175 manager.go:91] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] is enabled
I0914 21:38:13.724628     175 manager.go:100] Migration [MIGRATION_ID_BUILTIN_SIDECARS_TO_PLUGINS] already has status MIGRATION_STATUS_COMPLETED, skipping
I0914 21:38:13.724632     175 manager.go:88] Migration [MIGRATION_ID_LIN_BUILTIN_TO_MARKETPLACE] is disabled, skipping entirely
I0914 21:38:13.724803       1 auto_updater.go:252] Last check was less than 15 minutes ago, skipping update (fast path)
W0914 21:38:13.724829     194 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:38:13.724855     194 errorreport.go:224] error getting token source: You are not logged into Antigravity.
I0914 21:38:13.724891       1 common.go:150] Launching CLI mode
