I0914 21:34:45.127664       1 resolver.go:85] Model ID gemini-3.1-pro-high not in local config, defaulting to CCPA
I0914 21:34:45.127723       1 resolver.go:111] Model resolved via default
I0914 21:34:45.127835      21 server.go:1560] Starting language server process with pid 550172
I0914 21:34:45.128014      21 server.go:1613] Language server version: 1.2.2
I0914 21:34:45.128019      21 server.go:613] Language server will attempt to listen on host localhost
I0914 21:34:45.130701      21 server.go:628] Language server listening on random port at 34221 for HTTPS (gRPC)
I0914 21:34:45.130786      21 server.go:636] Language server listening on random port at 34623 for HTTP
W0914 21:34:45.316083      62 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:34:45.316130      62 errorreport.go:224] error getting token source: You are not logged into Antigravity.
E0914 21:34:45.316576      62 errorreport.go:224] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
I0914 21:34:45.316621      62 model_configs.go:65] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
W0914 21:34:45.317867      30 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:34:45.317906      30 errorreport.go:224] error getting token source: You are not logged into Antigravity.
I0914 21:34:45.317944      84 store_client.go:680] summary store: starting background reconciliation (trigger=startup)
W0914 21:34:45.317989      30 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:34:45.318012      30 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
W0914 21:34:45.318917      21 cache.go:135] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
E0914 21:34:45.318941      21 errorreport.go:224] error getting token source: You are not logged into Antigravity.
W0914 21:34:45.319052      21 cache.go:135] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
E0914 21:34:45.319083      21 errorreport.go:224] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
